"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Apr 2019","1","CCGT/COGEN/TRIGEN","2620.000","2447.972"
"MG","01 Apr 2019","1","GT","-0.033","-0.033"
"MG","01 Apr 2019","1","IGS","-0.002","-0.002"
"MG","01 Apr 2019","1","ST","45.086","43.236"
"MG","01 Apr 2019","2","CCGT/COGEN/TRIGEN","2562.506","2388.178"
"MG","01 Apr 2019","2","GT","-0.032","-0.032"
"MG","01 Apr 2019","2","IGS","-0.002","-0.002"
"MG","01 Apr 2019","2","ST","45.426","43.562"
"MG","01 Apr 2019","3","CCGT/COGEN/TRIGEN","2508.938","2336.215"
"MG","01 Apr 2019","3","GT","-0.032","-0.032"
"MG","01 Apr 2019","3","IGS","-0.002","-0.002"
"MG","01 Apr 2019","3","ST","47.193","45.318"
"MG","01 Apr 2019","4","CCGT/COGEN/TRIGEN","2474.250","2302.944"
"MG","01 Apr 2019","4","GT","-0.033","-0.033"
"MG","01 Apr 2019","4","IGS","-0.002","-0.002"
"MG","01 Apr 2019","4","ST","46.507","44.754"
"MG","01 Apr 2019","5","CCGT/COGEN/TRIGEN","2421.730","2250.454"
"MG","01 Apr 2019","5","GT","-0.032","-0.032"
"MG","01 Apr 2019","5","IGS","-0.002","-0.002"
"MG","01 Apr 2019","5","ST","45.168","43.465"
"MG","01 Apr 2019","6","CCGT/COGEN/TRIGEN","2376.568","2208.849"
"MG","01 Apr 2019","6","GT","-0.033","-0.033"
"MG","01 Apr 2019","6","IGS","-0.003","-0.003"
"MG","01 Apr 2019","6","ST","45.711","43.950"
"MG","01 Apr 2019","7","CCGT/COGEN/TRIGEN","2348.678","2180.677"
"MG","01 Apr 2019","7","GT","-0.033","-0.033"
"MG","01 Apr 2019","7","IGS","-0.002","-0.002"
"MG","01 Apr 2019","7","ST","45.996","44.225"
"MG","01 Apr 2019","8","CCGT/COGEN/TRIGEN","2329.292","2163.249"
"MG","01 Apr 2019","8","GT","-0.033","-0.033"
"MG","01 Apr 2019","8","IGS","-0.002","-0.002"
"MG","01 Apr 2019","8","ST","46.218","44.442"
"MG","01 Apr 2019","9","CCGT/COGEN/TRIGEN","2320.187","2156.818"
"MG","01 Apr 2019","9","GT","-0.032","-0.032"
"MG","01 Apr 2019","9","IGS","-0.002","-0.002"
"MG","01 Apr 2019","9","ST","47.177","45.332"
"MG","01 Apr 2019","10","CCGT/COGEN/TRIGEN","2327.775","2163.684"
"MG","01 Apr 2019","10","GT","-0.033","-0.033"
"MG","01 Apr 2019","10","IGS","-0.002","-0.002"
"MG","01 Apr 2019","10","ST","45.402","43.571"
"MG","01 Apr 2019","11","CCGT/COGEN/TRIGEN","2353.898","2190.150"
"MG","01 Apr 2019","11","GT","-0.032","-0.032"
"MG","01 Apr 2019","11","IGS","-0.002","-0.002"
"MG","01 Apr 2019","11","ST","43.747","41.876"
"MG","01 Apr 2019","12","CCGT/COGEN/TRIGEN","2411.477","2247.876"
"MG","01 Apr 2019","12","GT","-0.032","-0.032"
"MG","01 Apr 2019","12","IGS","-0.002","-0.002"
"MG","01 Apr 2019","12","ST","43.136","41.346"
"MG","01 Apr 2019","13","CCGT/COGEN/TRIGEN","2505.815","2341.203"
"MG","01 Apr 2019","13","GT","-0.032","-0.032"
"MG","01 Apr 2019","13","IGS","-0.002","-0.002"
"MG","01 Apr 2019","13","ST","43.003","41.175"
"MG","01 Apr 2019","14","CCGT/COGEN/TRIGEN","2593.636","2425.035"
"MG","01 Apr 2019","14","GT","-0.032","-0.032"
"MG","01 Apr 2019","14","IGS","-0.002","-0.002"
"MG","01 Apr 2019","14","ST","44.426","42.618"
"MG","01 Apr 2019","15","CCGT/COGEN/TRIGEN","2688.514","2517.805"
"MG","01 Apr 2019","15","GT","-0.029","-0.029"
"MG","01 Apr 2019","15","IGS","0.190","-0.002"
"MG","01 Apr 2019","15","ST","45.994","44.159"
"MG","01 Apr 2019","16","CCGT/COGEN/TRIGEN","2812.543","2641.328"
"MG","01 Apr 2019","16","GT","-0.028","-0.028"
"MG","01 Apr 2019","16","IGS","0.958","0.008"
"MG","01 Apr 2019","16","ST","45.593","43.785"
"MG","01 Apr 2019","17","CCGT/COGEN/TRIGEN","2955.778","2784.837"
"MG","01 Apr 2019","17","GT","-0.028","-0.028"
"MG","01 Apr 2019","17","IGS","2.376","0.038"
"MG","01 Apr 2019","17","ST","46.882","45.060"
"MG","01 Apr 2019","18","CCGT/COGEN/TRIGEN","3063.318","2891.882"
"MG","01 Apr 2019","18","GT","-0.028","-0.028"
"MG","01 Apr 2019","18","IGS","4.102","0.197"
"MG","01 Apr 2019","18","ST","44.758","42.941"
"MG","01 Apr 2019","19","CCGT/COGEN/TRIGEN","3133.882","2961.718"
"MG","01 Apr 2019","19","GT","-0.030","-0.030"
"MG","01 Apr 2019","19","IGS","5.834","0.550"
"MG","01 Apr 2019","19","ST","45.605","43.811"
"MG","01 Apr 2019","20","CCGT/COGEN/TRIGEN","3162.400","2990.289"
