"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Aug 2019","1","CCGT/COGEN/TRIGEN","2789.637","2598.074"
"MG","01 Aug 2019","1","GT","-0.033","-0.033"
"MG","01 Aug 2019","1","IGS","-0.016","-0.016"
"MG","01 Aug 2019","1","ST","37.197","35.164"
"MG","01 Aug 2019","2","CCGT/COGEN/TRIGEN","2720.730","2527.438"
"MG","01 Aug 2019","2","GT","-0.033","-0.033"
"MG","01 Aug 2019","2","IGS","-0.004","-0.004"
"MG","01 Aug 2019","2","ST","37.145","35.097"
"MG","01 Aug 2019","3","CCGT/COGEN/TRIGEN","2675.916","2481.875"
"MG","01 Aug 2019","3","GT","-0.033","-0.033"
"MG","01 Aug 2019","3","IGS","-0.004","-0.004"
"MG","01 Aug 2019","3","ST","36.781","34.793"
"MG","01 Aug 2019","4","CCGT/COGEN/TRIGEN","2641.829","2447.633"
"MG","01 Aug 2019","4","GT","-0.033","-0.033"
"MG","01 Aug 2019","4","IGS","-0.006","-0.006"
"MG","01 Aug 2019","4","ST","36.815","34.859"
"MG","01 Aug 2019","5","CCGT/COGEN/TRIGEN","2608.568","2414.310"
"MG","01 Aug 2019","5","GT","-0.032","-0.032"
"MG","01 Aug 2019","5","IGS","-0.004","-0.004"
"MG","01 Aug 2019","5","ST","36.432","34.641"
"MG","01 Aug 2019","6","CCGT/COGEN/TRIGEN","2566.462","2372.479"
"MG","01 Aug 2019","6","GT","-0.033","-0.033"
"MG","01 Aug 2019","6","IGS","-0.004","-0.004"
"MG","01 Aug 2019","6","ST","36.643","34.936"
"MG","01 Aug 2019","7","CCGT/COGEN/TRIGEN","2547.443","2353.476"
"MG","01 Aug 2019","7","GT","-0.032","-0.032"
"MG","01 Aug 2019","7","IGS","-0.004","-0.004"
"MG","01 Aug 2019","7","ST","36.878","35.281"
"MG","01 Aug 2019","8","CCGT/COGEN/TRIGEN","2529.830","2336.283"
"MG","01 Aug 2019","8","GT","-0.033","-0.033"
"MG","01 Aug 2019","8","IGS","-0.004","-0.004"
"MG","01 Aug 2019","8","ST","36.449","34.884"
"MG","01 Aug 2019","9","CCGT/COGEN/TRIGEN","2523.249","2329.378"
"MG","01 Aug 2019","9","GT","-0.033","-0.033"
"MG","01 Aug 2019","9","IGS","-0.006","-0.006"
"MG","01 Aug 2019","9","ST","36.113","34.585"
"MG","01 Aug 2019","10","CCGT/COGEN/TRIGEN","2522.526","2327.974"
"MG","01 Aug 2019","10","GT","-0.031","-0.031"
"MG","01 Aug 2019","10","IGS","-0.004","-0.004"
"MG","01 Aug 2019","10","ST","36.483","35.001"
"MG","01 Aug 2019","11","CCGT/COGEN/TRIGEN","2560.392","2365.403"
"MG","01 Aug 2019","11","GT","-0.032","-0.032"
"MG","01 Aug 2019","11","IGS","-0.004","-0.004"
"MG","01 Aug 2019","11","ST","36.676","35.281"
"MG","01 Aug 2019","12","CCGT/COGEN/TRIGEN","2612.168","2416.873"
"MG","01 Aug 2019","12","GT","-0.032","-0.032"
"MG","01 Aug 2019","12","IGS","-0.004","-0.004"
"MG","01 Aug 2019","12","ST","35.886","34.536"
"MG","01 Aug 2019","13","CCGT/COGEN/TRIGEN","2699.755","2504.466"
"MG","01 Aug 2019","13","GT","-0.031","-0.031"
"MG","01 Aug 2019","13","IGS","-0.006","-0.006"
"MG","01 Aug 2019","13","ST","35.901","34.582"
"MG","01 Aug 2019","14","CCGT/COGEN/TRIGEN","2783.365","2588.156"
"MG","01 Aug 2019","14","GT","-0.033","-0.033"
"MG","01 Aug 2019","14","IGS","-0.004","-0.004"
"MG","01 Aug 2019","14","ST","35.207","33.983"
"MG","01 Aug 2019","15","CCGT/COGEN/TRIGEN","2862.680","2668.106"
"MG","01 Aug 2019","15","GT","-0.029","-0.029"
"MG","01 Aug 2019","15","IGS","0.462","0.016"
"MG","01 Aug 2019","15","ST","35.283","33.935"
"MG","01 Aug 2019","16","CCGT/COGEN/TRIGEN","2974.137","2780.956"
"MG","01 Aug 2019","16","GT","-0.030","-0.030"
"MG","01 Aug 2019","16","IGS","2.439","0.249"
"MG","01 Aug 2019","16","ST","35.571","34.165"
"MG","01 Aug 2019","17","CCGT/COGEN/TRIGEN","3115.057","2922.295"
"MG","01 Aug 2019","17","GT","-0.029","-0.029"
"MG","01 Aug 2019","17","IGS","5.867","1.275"
"MG","01 Aug 2019","17","ST","35.386","33.984"
"MG","01 Aug 2019","18","CCGT/COGEN/TRIGEN","3209.426","3015.857"
"MG","01 Aug 2019","18","GT","-0.030","-0.030"
"MG","01 Aug 2019","18","IGS","9.830","2.809"
"MG","01 Aug 2019","18","ST","35.522","34.129"
"MG","01 Aug 2019","19","CCGT/COGEN/TRIGEN","3276.549","3082.205"
"MG","01 Aug 2019","19","GT","-0.032","-0.032"
"MG","01 Aug 2019","19","IGS","12.735","3.579"
"MG","01 Aug 2019","19","ST","35.289","33.924"
"MG","01 Aug 2019","20","CCGT/COGEN/TRIGEN","3328.542","3134.246"
"MG","01 Aug 2019","20","GT","-0.031","-0.031"
"MG","01 Aug 2019","20","IGS","17.086","6.503"
"MG","01 Aug 2019","20","ST","35.437","34.146"
"MG","01 Aug 2019","21","CCGT/COGEN/TRIGEN","3358.359","3163.852"
"MG","01 Aug 2019","21","GT","-0.033","-0.033"
"MG","01 Aug 2019","21","IGS","20.729","7.473"
"MG","01 Aug 2019","21","ST","35.483","34.184"
"MG","01 Aug 2019","22","CCGT/COGEN/TRIGEN","3369.273","3175.286"
"MG","01 Aug 2019","22","GT","-0.033","-0.033"
"MG","01 Aug 2019","22","IGS","25.813","10.173"
"MG","01 Aug 2019","22","ST","32.801","32.231"
"MG","01 Aug 2019","23","CCGT/COGEN/TRIGEN","3370.762","3177.414"
"MG","01 Aug 2019","23","GT","-0.035","-0.035"
