"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Feb 2019","1","CCGT/COGEN/TRIGEN","2625.160","2436.105"
"MG","01 Feb 2019","1","GT","-0.033","-0.033"
"MG","01 Feb 2019","1","IGS","-0.003","-0.003"
"MG","01 Feb 2019","1","ST","52.460","51.080"
"MG","01 Feb 2019","2","CCGT/COGEN/TRIGEN","2576.739","2387.234"
"MG","01 Feb 2019","2","GT","-0.034","-0.034"
"MG","01 Feb 2019","2","IGS","-0.002","-0.002"
"MG","01 Feb 2019","2","ST","53.605","52.260"
"MG","01 Feb 2019","3","CCGT/COGEN/TRIGEN","2528.228","2338.597"
"MG","01 Feb 2019","3","GT","-0.032","-0.032"
"MG","01 Feb 2019","3","IGS","-0.002","-0.002"
"MG","01 Feb 2019","3","ST","51.963","50.585"
"MG","01 Feb 2019","4","CCGT/COGEN/TRIGEN","2491.515","2301.932"
"MG","01 Feb 2019","4","GT","-0.032","-0.032"
"MG","01 Feb 2019","4","IGS","-0.002","-0.002"
"MG","01 Feb 2019","4","ST","53.492","52.117"
"MG","01 Feb 2019","5","CCGT/COGEN/TRIGEN","2460.014","2270.409"
"MG","01 Feb 2019","5","GT","-0.033","-0.033"
"MG","01 Feb 2019","5","IGS","-0.002","-0.002"
"MG","01 Feb 2019","5","ST","54.570","53.194"
"MG","01 Feb 2019","6","CCGT/COGEN/TRIGEN","2428.189","2239.010"
"MG","01 Feb 2019","6","GT","-0.033","-0.033"
"MG","01 Feb 2019","6","IGS","-0.002","-0.002"
"MG","01 Feb 2019","6","ST","53.823","52.450"
"MG","01 Feb 2019","7","CCGT/COGEN/TRIGEN","2407.821","2218.401"
"MG","01 Feb 2019","7","GT","-0.033","-0.033"
"MG","01 Feb 2019","7","IGS","-0.002","-0.002"
"MG","01 Feb 2019","7","ST","54.046","52.669"
"MG","01 Feb 2019","8","CCGT/COGEN/TRIGEN","2397.502","2208.038"
"MG","01 Feb 2019","8","GT","-0.033","-0.033"
"MG","01 Feb 2019","8","IGS","-0.002","-0.002"
"MG","01 Feb 2019","8","ST","53.390","52.015"
"MG","01 Feb 2019","9","CCGT/COGEN/TRIGEN","2385.391","2195.843"
"MG","01 Feb 2019","9","GT","-0.033","-0.033"
"MG","01 Feb 2019","9","IGS","-0.002","-0.002"
"MG","01 Feb 2019","9","ST","53.348","51.970"
"MG","01 Feb 2019","10","CCGT/COGEN/TRIGEN","2395.687","2206.282"
"MG","01 Feb 2019","10","GT","-0.033","-0.033"
"MG","01 Feb 2019","10","IGS","-0.002","-0.002"
"MG","01 Feb 2019","10","ST","53.948","52.573"
"MG","01 Feb 2019","11","CCGT/COGEN/TRIGEN","2417.429","2228.284"
"MG","01 Feb 2019","11","GT","-0.032","-0.032"
"MG","01 Feb 2019","11","IGS","-0.002","-0.002"
"MG","01 Feb 2019","11","ST","53.467","52.087"
"MG","01 Feb 2019","12","CCGT/COGEN/TRIGEN","2484.865","2295.771"
"MG","01 Feb 2019","12","GT","-0.033","-0.033"
"MG","01 Feb 2019","12","IGS","-0.002","-0.002"
"MG","01 Feb 2019","12","ST","53.084","51.708"
"MG","01 Feb 2019","13","CCGT/COGEN/TRIGEN","2579.618","2390.101"
"MG","01 Feb 2019","13","GT","-0.033","-0.033"
"MG","01 Feb 2019","13","IGS","-0.003","-0.003"
"MG","01 Feb 2019","13","ST","53.752","52.368"
"MG","01 Feb 2019","14","CCGT/COGEN/TRIGEN","2667.808","2478.122"
"MG","01 Feb 2019","14","GT","-0.032","-0.032"
"MG","01 Feb 2019","14","IGS","-0.002","-0.002"
"MG","01 Feb 2019","14","ST","53.464","52.088"
"MG","01 Feb 2019","15","CCGT/COGEN/TRIGEN","2740.652","2551.531"
"MG","01 Feb 2019","15","GT","-0.029","-0.029"
"MG","01 Feb 2019","15","IGS","0.161","0.001"
"MG","01 Feb 2019","15","ST","53.187","51.800"
"MG","01 Feb 2019","16","CCGT/COGEN/TRIGEN","2833.095","2644.229"
"MG","01 Feb 2019","16","GT","-0.028","-0.028"
"MG","01 Feb 2019","16","IGS","1.134","0.032"
"MG","01 Feb 2019","16","ST","53.536","52.157"
"MG","01 Feb 2019","17","CCGT/COGEN/TRIGEN","2963.511","2774.776"
"MG","01 Feb 2019","17","GT","-0.029","-0.029"
"MG","01 Feb 2019","17","IGS","2.614","0.310"
"MG","01 Feb 2019","17","ST","52.933","51.548"
"MG","01 Feb 2019","18","CCGT/COGEN/TRIGEN","3063.580","2874.757"
"MG","01 Feb 2019","18","GT","-0.028","-0.028"
"MG","01 Feb 2019","18","IGS","4.596","0.967"
"MG","01 Feb 2019","18","ST","52.767","51.378"
"MG","01 Feb 2019","19","CCGT/COGEN/TRIGEN","3118.013","2929.350"
"MG","01 Feb 2019","19","GT","-0.031","-0.031"
