"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Jul 2019","1","CCGT/COGEN/TRIGEN","2730.845","2502.637"
"MG","01 Jul 2019","1","GT","-0.033","-0.033"
"MG","01 Jul 2019","1","IGS","-0.004","-0.004"
"MG","01 Jul 2019","1","ST","45.501","43.322"
"MG","01 Jul 2019","2","CCGT/COGEN/TRIGEN","2664.341","2436.077"
"MG","01 Jul 2019","2","GT","-0.033","-0.033"
"MG","01 Jul 2019","2","IGS","-0.004","-0.004"
"MG","01 Jul 2019","2","ST","45.436","43.233"
"MG","01 Jul 2019","3","CCGT/COGEN/TRIGEN","2612.773","2384.825"
"MG","01 Jul 2019","3","GT","-0.034","-0.034"
"MG","01 Jul 2019","3","IGS","-0.018","-0.018"
"MG","01 Jul 2019","3","ST","46.400","44.224"
"MG","01 Jul 2019","4","CCGT/COGEN/TRIGEN","2579.680","2351.828"
"MG","01 Jul 2019","4","GT","-0.034","-0.034"
"MG","01 Jul 2019","4","IGS","-0.004","-0.004"
"MG","01 Jul 2019","4","ST","44.441","42.397"
"MG","01 Jul 2019","5","CCGT/COGEN/TRIGEN","2547.121","2319.881"
"MG","01 Jul 2019","5","GT","-0.032","-0.032"
"MG","01 Jul 2019","5","IGS","-0.004","-0.004"
"MG","01 Jul 2019","5","ST","45.591","43.572"
"MG","01 Jul 2019","6","CCGT/COGEN/TRIGEN","2524.430","2297.498"
"MG","01 Jul 2019","6","GT","-0.034","-0.034"
"MG","01 Jul 2019","6","IGS","-0.004","-0.004"
"MG","01 Jul 2019","6","ST","45.521","43.469"
"MG","01 Jul 2019","7","CCGT/COGEN/TRIGEN","2498.624","2271.895"
"MG","01 Jul 2019","7","GT","-0.032","-0.032"
"MG","01 Jul 2019","7","IGS","-0.004","-0.004"
"MG","01 Jul 2019","7","ST","45.203","43.162"
"MG","01 Jul 2019","8","CCGT/COGEN/TRIGEN","2487.263","2260.702"
"MG","01 Jul 2019","8","GT","-0.033","-0.033"
"MG","01 Jul 2019","8","IGS","-0.016","-0.016"
"MG","01 Jul 2019","8","ST","45.391","43.325"
"MG","01 Jul 2019","9","CCGT/COGEN/TRIGEN","2485.991","2259.382"
"MG","01 Jul 2019","9","GT","-0.032","-0.032"
"MG","01 Jul 2019","9","IGS","-0.006","-0.006"
"MG","01 Jul 2019","9","ST","45.901","43.837"
"MG","01 Jul 2019","10","CCGT/COGEN/TRIGEN","2498.196","2270.817"
"MG","01 Jul 2019","10","GT","-0.033","-0.033"
"MG","01 Jul 2019","10","IGS","-0.004","-0.004"
"MG","01 Jul 2019","10","ST","47.046","44.956"
"MG","01 Jul 2019","11","CCGT/COGEN/TRIGEN","2518.176","2291.002"
"MG","01 Jul 2019","11","GT","-0.032","-0.032"
"MG","01 Jul 2019","11","IGS","-0.004","-0.004"
"MG","01 Jul 2019","11","ST","45.922","43.830"
