"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Mar 2019","1","CCGT/COGEN/TRIGEN","2625.437","2474.942"
"MG","01 Mar 2019","1","GT","-0.033","-0.033"
"MG","01 Mar 2019","1","IGS","-0.002","-0.002"
"MG","01 Mar 2019","1","ST","54.650","51.349"
"MG","01 Mar 2019","2","CCGT/COGEN/TRIGEN","2563.760","2413.244"
"MG","01 Mar 2019","2","GT","-0.034","-0.034"
"MG","01 Mar 2019","2","IGS","-0.002","-0.002"
"MG","01 Mar 2019","2","ST","56.392","53.089"
"MG","01 Mar 2019","3","CCGT/COGEN/TRIGEN","2515.732","2365.110"
"MG","01 Mar 2019","3","GT","-0.033","-0.033"
"MG","01 Mar 2019","3","IGS","-0.002","-0.002"
"MG","01 Mar 2019","3","ST","56.020","52.718"
"MG","01 Mar 2019","4","CCGT/COGEN/TRIGEN","2466.608","2315.762"
"MG","01 Mar 2019","4","GT","-0.034","-0.034"
"MG","01 Mar 2019","4","IGS","-0.002","-0.002"
"MG","01 Mar 2019","4","ST","55.232","51.923"
"MG","01 Mar 2019","5","CCGT/COGEN/TRIGEN","2438.155","2287.527"
"MG","01 Mar 2019","5","GT","-0.033","-0.033"
"MG","01 Mar 2019","5","IGS","-0.002","-0.002"
"MG","01 Mar 2019","5","ST","56.123","52.822"
"MG","01 Mar 2019","6","CCGT/COGEN/TRIGEN","2406.134","2255.381"
"MG","01 Mar 2019","6","GT","-0.034","-0.034"
"MG","01 Mar 2019","6","IGS","-0.002","-0.002"
"MG","01 Mar 2019","6","ST","56.974","53.641"
"MG","01 Mar 2019","7","CCGT/COGEN/TRIGEN","2380.800","2230.180"
"MG","01 Mar 2019","7","GT","-0.034","-0.034"
"MG","01 Mar 2019","7","IGS","-0.003","-0.003"
"MG","01 Mar 2019","7","ST","56.064","52.715"
"MG","01 Mar 2019","8","CCGT/COGEN/TRIGEN","2367.034","2216.341"
"MG","01 Mar 2019","8","GT","-0.033","-0.033"
"MG","01 Mar 2019","8","IGS","-0.002","-0.002"
"MG","01 Mar 2019","8","ST","57.925","54.559"
"MG","01 Mar 2019","9","CCGT/COGEN/TRIGEN","2364.496","2213.647"
"MG","01 Mar 2019","9","GT","-0.033","-0.033"
"MG","01 Mar 2019","9","IGS","-0.002","-0.002"
"MG","01 Mar 2019","9","ST","56.298","52.924"
"MG","01 Mar 2019","10","CCGT/COGEN/TRIGEN","2364.357","2213.456"
"MG","01 Mar 2019","10","GT","-0.033","-0.033"
"MG","01 Mar 2019","10","IGS","-0.002","-0.002"
"MG","01 Mar 2019","10","ST","57.025","53.666"
"MG","01 Mar 2019","11","CCGT/COGEN/TRIGEN","2391.440","2240.865"
"MG","01 Mar 2019","11","GT","-0.033","-0.033"
"MG","01 Mar 2019","11","IGS","-0.002","-0.002"
"MG","01 Mar 2019","11","ST","57.971","54.634"
"MG","01 Mar 2019","12","CCGT/COGEN/TRIGEN","2451.070","2300.627"
"MG","01 Mar 2019","12","GT","-0.033","-0.033"
"MG","01 Mar 2019","12","IGS","-0.002","-0.002"
"MG","01 Mar 2019","12","ST","56.265","52.904"
"MG","01 Mar 2019","13","CCGT/COGEN/TRIGEN","2543.922","2392.776"
"MG","01 Mar 2019","13","GT","-0.033","-0.033"
