"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 May 2019","1","CCGT/COGEN/TRIGEN","2729.664","2564.347"
"MG","01 May 2019","1","GT","-0.032","-0.032"
"MG","01 May 2019","1","IGS","-0.004","-0.004"
"MG","01 May 2019","1","ST","52.155","49.789"
"MG","01 May 2019","2","CCGT/COGEN/TRIGEN","2682.538","2517.363"
"MG","01 May 2019","2","GT","-0.032","-0.032"
"MG","01 May 2019","2","IGS","-0.004","-0.004"
"MG","01 May 2019","2","ST","50.286","47.969"
"MG","01 May 2019","3","CCGT/COGEN/TRIGEN","2633.892","2468.814"
"MG","01 May 2019","3","GT","-0.032","-0.032"
"MG","01 May 2019","3","IGS","-0.004","-0.004"
"MG","01 May 2019","3","ST","51.163","48.843"
"MG","01 May 2019","4","CCGT/COGEN/TRIGEN","2599.596","2434.535"
"MG","01 May 2019","4","GT","-0.032","-0.032"
"MG","01 May 2019","4","IGS","-0.004","-0.004"
"MG","01 May 2019","4","ST","47.870","45.494"
"MG","01 May 2019","5","CCGT/COGEN/TRIGEN","2564.804","2399.105"
"MG","01 May 2019","5","GT","-0.032","-0.032"
"MG","01 May 2019","5","IGS","-0.006","-0.006"
"MG","01 May 2019","5","ST","48.573","46.253"
"MG","01 May 2019","6","CCGT/COGEN/TRIGEN","2535.204","2369.910"
"MG","01 May 2019","6","GT","-0.032","-0.032"
"MG","01 May 2019","6","IGS","-0.004","-0.004"
"MG","01 May 2019","6","ST","49.554","47.225"
"MG","01 May 2019","7","CCGT/COGEN/TRIGEN","2505.041","2339.640"
"MG","01 May 2019","7","GT","-0.033","-0.033"
"MG","01 May 2019","7","IGS","-0.004","-0.004"
"MG","01 May 2019","7","ST","49.167","46.825"
"MG","01 May 2019","8","CCGT/COGEN/TRIGEN","2478.164","2312.919"
"MG","01 May 2019","8","GT","-0.032","-0.032"
"MG","01 May 2019","8","IGS","-0.004","-0.004"
"MG","01 May 2019","8","ST","49.953","47.602"
"MG","01 May 2019","9","CCGT/COGEN/TRIGEN","2462.167","2297.237"
"MG","01 May 2019","9","GT","-0.032","-0.032"
"MG","01 May 2019","9","IGS","-0.004","-0.004"
"MG","01 May 2019","9","ST","49.708","47.406"
"MG","01 May 2019","10","CCGT/COGEN/TRIGEN","2461.170","2296.530"
"MG","01 May 2019","10","GT","-0.032","-0.032"
"MG","01 May 2019","10","IGS","-0.004","-0.004"
"MG","01 May 2019","10","ST","49.574","47.222"
"MG","01 May 2019","11","CCGT/COGEN/TRIGEN","2468.137","2303.452"
"MG","01 May 2019","11","GT","-0.032","-0.032"
"MG","01 May 2019","11","IGS","-0.004","-0.004"
"MG","01 May 2019","11","ST","49.981","47.583"
"MG","01 May 2019","12","CCGT/COGEN/TRIGEN","2484.863","2320.012"
"MG","01 May 2019","12","GT","-0.032","-0.032"
"MG","01 May 2019","12","IGS","-0.004","-0.004"
"MG","01 May 2019","12","ST","50.515","48.147"
"MG","01 May 2019","13","CCGT/COGEN/TRIGEN","2502.271","2336.490"
"MG","01 May 2019","13","GT","-0.032","-0.032"
"MG","01 May 2019","13","IGS","-0.004","-0.004"
