"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Oct 2019","1","CCGT/COGEN/TRIGEN","2659.019","2477.895"
"MG","01 Oct 2019","1","GT","-0.033","-0.033"
"MG","01 Oct 2019","1","IGS","-0.004","-0.004"
"MG","01 Oct 2019","1","ST","43.802","41.752"
"MG","01 Oct 2019","2","CCGT/COGEN/TRIGEN","2593.981","2413.480"
"MG","01 Oct 2019","2","GT","-0.033","-0.033"
"MG","01 Oct 2019","2","IGS","-0.004","-0.004"
"MG","01 Oct 2019","2","ST","44.769","42.645"
"MG","01 Oct 2019","3","CCGT/COGEN/TRIGEN","2554.700","2371.659"
"MG","01 Oct 2019","3","GT","-0.032","-0.032"
"MG","01 Oct 2019","3","IGS","-0.006","-0.006"
"MG","01 Oct 2019","3","ST","44.743","42.672"
"MG","01 Oct 2019","4","CCGT/COGEN/TRIGEN","2525.270","2338.739"
"MG","01 Oct 2019","4","GT","-0.033","-0.033"
"MG","01 Oct 2019","4","IGS","-0.015","-0.016"
"MG","01 Oct 2019","4","ST","43.322","41.254"
"MG","01 Oct 2019","5","CCGT/COGEN/TRIGEN","2493.579","2306.685"
"MG","01 Oct 2019","5","GT","-0.033","-0.033"
"MG","01 Oct 2019","5","IGS","-0.004","-0.004"
"MG","01 Oct 2019","5","ST","44.167","42.095"
"MG","01 Oct 2019","6","CCGT/COGEN/TRIGEN","2466.601","2279.316"
"MG","01 Oct 2019","6","GT","-0.033","-0.033"
"MG","01 Oct 2019","6","IGS","-0.004","-0.004"
"MG","01 Oct 2019","6","ST","45.635","43.544"
"MG","01 Oct 2019","7","CCGT/COGEN/TRIGEN","2439.139","2250.981"
"MG","01 Oct 2019","7","GT","-0.033","-0.033"
"MG","01 Oct 2019","7","IGS","-0.006","-0.006"
"MG","01 Oct 2019","7","ST","45.030","42.956"
"MG","01 Oct 2019","8","CCGT/COGEN/TRIGEN","2422.957","2238.517"
"MG","01 Oct 2019","8","GT","-0.032","-0.032"
"MG","01 Oct 2019","8","IGS","-0.004","-0.004"
"MG","01 Oct 2019","8","ST","44.246","42.199"
"MG","01 Oct 2019","9","CCGT/COGEN/TRIGEN","2422.324","2237.524"
"MG","01 Oct 2019","9","GT","-0.033","-0.033"
"MG","01 Oct 2019","9","IGS","-0.003","-0.004"
"MG","01 Oct 2019","9","ST","45.415","43.401"
"MG","01 Oct 2019","10","CCGT/COGEN/TRIGEN","2426.509","2239.805"
"MG","01 Oct 2019","10","GT","-0.032","-0.032"
"MG","01 Oct 2019","10","IGS","-0.006","-0.006"
"MG","01 Oct 2019","10","ST","44.868","42.824"
"MG","01 Oct 2019","11","CCGT/COGEN/TRIGEN","2463.077","2275.841"
"MG","01 Oct 2019","11","GT","-0.033","-0.033"
"MG","01 Oct 2019","11","IGS","-0.004","-0.004"
"MG","01 Oct 2019","11","ST","44.288","42.246"
"MG","01 Oct 2019","12","CCGT/COGEN/TRIGEN","2520.154","2332.628"
"MG","01 Oct 2019","12","GT","-0.031","-0.031"
"MG","01 Oct 2019","12","IGS","-0.016","-0.016"
"MG","01 Oct 2019","12","ST","43.812","41.770"
"MG","01 Oct 2019","13","CCGT/COGEN/TRIGEN","2622.740","2435.223"
"MG","01 Oct 2019","13","GT","-0.034","-0.034"
"MG","01 Oct 2019","13","IGS","-0.004","-0.004"
"MG","01 Oct 2019","13","ST","44.278","42.262"
"MG","01 Oct 2019","14","CCGT/COGEN/TRIGEN","2720.509","2532.412"
"MG","01 Oct 2019","14","GT","-0.034","-0.034"
"MG","01 Oct 2019","14","IGS","0.001","-0.004"
"MG","01 Oct 2019","14","ST","45.289","43.288"
"MG","01 Oct 2019","15","CCGT/COGEN/TRIGEN","2792.817","2603.595"
"MG","01 Oct 2019","15","GT","-0.030","-0.030"
"MG","01 Oct 2019","15","IGS","0.638","0.030"
"MG","01 Oct 2019","15","ST","45.756","43.757"
"MG","01 Oct 2019","16","CCGT/COGEN/TRIGEN","2921.341","2733.237"
"MG","01 Oct 2019","16","GT","-0.028","-0.028"
"MG","01 Oct 2019","16","IGS","2.671","0.206"
"MG","01 Oct 2019","16","ST","45.413","43.399"
"MG","01 Oct 2019","17","CCGT/COGEN/TRIGEN","3046.536","2858.291"
"MG","01 Oct 2019","17","GT","-0.029","-0.029"
"MG","01 Oct 2019","17","IGS","5.475","0.909"
"MG","01 Oct 2019","17","ST","44.535","42.543"
"MG","01 Oct 2019","18","CCGT/COGEN/TRIGEN","3129.316","2941.097"
"MG","01 Oct 2019","18","GT","-0.039","-0.039"
"MG","01 Oct 2019","18","IGS","10.326","2.667"
"MG","01 Oct 2019","18","ST","45.064","43.092"
"MG","01 Oct 2019","19","CCGT/COGEN/TRIGEN","3205.332","3018.531"
"MG","01 Oct 2019","19","GT","-0.052","-0.052"
"MG","01 Oct 2019","19","IGS","13.881","3.916"
"MG","01 Oct 2019","19","ST","43.615","41.635"
"MG","01 Oct 2019","20","CCGT/COGEN/TRIGEN","3247.081","3062.600"
"MG","01 Oct 2019","20","GT","-0.052","-0.052"
"MG","01 Oct 2019","20","IGS","17.831","5.687"
"MG","01 Oct 2019","20","ST","44.352","42.378"
"MG","01 Oct 2019","21","CCGT/COGEN/TRIGEN","3288.543","3104.276"
"MG","01 Oct 2019","21","GT","-0.048","-0.048"
"MG","01 Oct 2019","21","IGS","20.896","6.725"
"MG","01 Oct 2019","21","ST","43.450","41.513"
"MG","01 Oct 2019","22","CCGT/COGEN/TRIGEN","3295.787","3112.328"
"MG","01 Oct 2019","22","GT","-0.034","-0.034"
"MG","01 Oct 2019","22","IGS","21.760","6.096"
"MG","01 Oct 2019","22","ST","43.423","41.497"
"MG","01 Oct 2019","23","CCGT/COGEN/TRIGEN","3291.566","3107.590"
"MG","01 Oct 2019","23","GT","-0.034","-0.034"
"MG","01 Oct 2019","23","IGS","23.968","6.914"
"MG","01 Oct 2019","23","ST","42.079","40.137"
"MG","01 Oct 2019","24","CCGT/COGEN/TRIGEN","3257.613","3072.273"
"MG","01 Oct 2019","24","GT","-0.033","-0.033"
"MG","01 Oct 2019","24","IGS","26.291","9.462"
"MG","01 Oct 2019","24","ST","44.773","42.827"
"MG","01 Oct 2019","25","CCGT/COGEN/TRIGEN","3225.499","3040.290"
"MG","01 Oct 2019","25","GT","-0.034","-0.034"
"MG","01 Oct 2019","25","IGS","24.615","8.814"
"MG","01 Oct 2019","25","ST","44.688","42.678"
"MG","01 Oct 2019","26","CCGT/COGEN/TRIGEN","3211.187","3026.465"
"MG","01 Oct 2019","26","GT","-0.033","-0.033"
"MG","01 Oct 2019","26","IGS","33.441","16.348"
"MG","01 Oct 2019","26","ST","45.583","43.621"
"MG","01 Oct 2019","27","CCGT/COGEN/TRIGEN","3245.070","3062.352"
"MG","01 Oct 2019","27","GT","-0.056","-0.056"
"MG","01 Oct 2019","27","IGS","34.807","15.983"
"MG","01 Oct 2019","27","ST","45.336","43.474"
"MG","01 Oct 2019","28","CCGT/COGEN/TRIGEN","3271.208","3089.612"
"MG","01 Oct 2019","28","GT","-0.051","-0.051"
"MG","01 Oct 2019","28","IGS","35.162","15.768"
"MG","01 Oct 2019","28","ST","43.835","41.947"
"MG","01 Oct 2019","29","CCGT/COGEN/TRIGEN","3282.850","3100.881"
"MG","01 Oct 2019","29","GT","-0.052","-0.052"
"MG","01 Oct 2019","29","IGS","33.288","13.991"
"MG","01 Oct 2019","29","ST","44.994","43.128"
"MG","01 Oct 2019","30","CCGT/COGEN/TRIGEN","3273.666","3090.747"
"MG","01 Oct 2019","30","GT","-0.038","-0.038"
"MG","01 Oct 2019","30","IGS","30.735","12.389"
"MG","01 Oct 2019","30","ST","42.943","41.063"
"MG","01 Oct 2019","31","CCGT/COGEN/TRIGEN","3265.939","3082.217"
"MG","01 Oct 2019","31","GT","-0.036","-0.036"
"MG","01 Oct 2019","31","IGS","26.650","10.302"
"MG","01 Oct 2019","31","ST","43.721","41.837"
"MG","01 Oct 2019","32","CCGT/COGEN/TRIGEN","3295.172","3111.982"
"MG","01 Oct 2019","32","GT","-0.034","-0.034"
"MG","01 Oct 2019","32","IGS","19.222","6.372"
"MG","01 Oct 2019","32","ST","44.104","42.192"
"MG","01 Oct 2019","33","CCGT/COGEN/TRIGEN","3306.289","3123.397"
"MG","01 Oct 2019","33","GT","-0.033","-0.033"
"MG","01 Oct 2019","33","IGS","15.719","5.215"
"MG","01 Oct 2019","33","ST","44.775","42.822"
"MG","01 Oct 2019","34","CCGT/COGEN/TRIGEN","3303.891","3121.054"
"MG","01 Oct 2019","34","GT","-0.032","-0.032"
"MG","01 Oct 2019","34","IGS","10.171","1.598"
"MG","01 Oct 2019","34","ST","44.203","42.264"
"MG","01 Oct 2019","35","CCGT/COGEN/TRIGEN","3283.858","3100.299"
"MG","01 Oct 2019","35","GT","-0.032","-0.032"
"MG","01 Oct 2019","35","IGS","6.025","0.358"
"MG","01 Oct 2019","35","ST","44.751","42.769"
"MG","01 Oct 2019","36","CCGT/COGEN/TRIGEN","3248.108","3064.537"
"MG","01 Oct 2019","36","GT","-0.032","-0.032"
"MG","01 Oct 2019","36","IGS","3.766","0.248"
"MG","01 Oct 2019","36","ST","44.695","42.690"
"MG","01 Oct 2019","37","CCGT/COGEN/TRIGEN","3191.083","3007.741"
"MG","01 Oct 2019","37","GT","-0.031","-0.031"
"MG","01 Oct 2019","37","IGS","2.641","0.327"
"MG","01 Oct 2019","37","ST","46.059","44.060"
"MG","01 Oct 2019","38","CCGT/COGEN/TRIGEN","3180.952","2996.851"
"MG","01 Oct 2019","38","GT","-0.034","-0.034"
"MG","01 Oct 2019","38","IGS","0.977","0.060"
"MG","01 Oct 2019","38","ST","46.477","44.473"
"MG","01 Oct 2019","39","CCGT/COGEN/TRIGEN","3206.235","3020.609"
"MG","01 Oct 2019","39","GT","-0.036","-0.036"
"MG","01 Oct 2019","39","IGS","-0.006","-0.006"
"MG","01 Oct 2019","39","ST","46.513","44.472"
"MG","01 Oct 2019","40","CCGT/COGEN/TRIGEN","3181.592","2996.922"
"MG","01 Oct 2019","40","GT","-0.035","-0.035"
"MG","01 Oct 2019","40","IGS","-0.018","-0.018"
"MG","01 Oct 2019","40","ST","45.850","43.824"
"MG","01 Oct 2019","41","CCGT/COGEN/TRIGEN","3149.259","2965.519"
"MG","01 Oct 2019","41","GT","-0.036","-0.036"
"MG","01 Oct 2019","41","IGS","-0.004","-0.004"
"MG","01 Oct 2019","41","ST","46.681","44.707"
"MG","01 Oct 2019","42","CCGT/COGEN/TRIGEN","3122.938","2939.647"
"MG","01 Oct 2019","42","GT","-0.038","-0.038"
"MG","01 Oct 2019","42","IGS","-0.018","-0.018"
"MG","01 Oct 2019","42","ST","45.725","43.664"
"MG","01 Oct 2019","43","CCGT/COGEN/TRIGEN","3095.399","2912.480"
"MG","01 Oct 2019","43","GT","-0.035","-0.035"
"MG","01 Oct 2019","43","IGS","-0.003","-0.004"
"MG","01 Oct 2019","43","ST","46.339","44.310"
"MG","01 Oct 2019","44","CCGT/COGEN/TRIGEN","3039.296","2855.574"
"MG","01 Oct 2019","44","GT","-0.036","-0.036"
"MG","01 Oct 2019","44","IGS","-0.006","-0.006"
"MG","01 Oct 2019","44","ST","46.570","44.578"
"MG","01 Oct 2019","45","CCGT/COGEN/TRIGEN","2961.671","2777.967"
"MG","01 Oct 2019","45","GT","-0.034","-0.034"
"MG","01 Oct 2019","45","IGS","-0.016","-0.016"
"MG","01 Oct 2019","45","ST","45.872","43.865"
"MG","01 Oct 2019","46","CCGT/COGEN/TRIGEN","2894.489","2710.605"
"MG","01 Oct 2019","46","GT","-0.035","-0.035"
"MG","01 Oct 2019","46","IGS","-0.006","-0.006"
"MG","01 Oct 2019","46","ST","45.165","43.155"
"MG","01 Oct 2019","47","CCGT/COGEN/TRIGEN","2815.938","2631.389"
"MG","01 Oct 2019","47","GT","-0.033","-0.033"
"MG","01 Oct 2019","47","IGS","-0.004","-0.004"
"MG","01 Oct 2019","47","ST","46.031","44.028"
"MG","01 Oct 2019","48","CCGT/COGEN/TRIGEN","2741.969","2559.357"
"MG","01 Oct 2019","48","GT","-0.035","-0.035"
"MG","01 Oct 2019","48","IGS","-0.005","-0.006"
"MG","01 Oct 2019","48","ST","45.839","43.841"
"MG","02 Oct 2019","1","CCGT/COGEN/TRIGEN","2669.410","2489.579"
"MG","02 Oct 2019","1","GT","-0.033","-0.033"
"MG","02 Oct 2019","1","IGS","-0.004","-0.004"
"MG","02 Oct 2019","1","ST","44.337","42.361"
"MG","02 Oct 2019","2","CCGT/COGEN/TRIGEN","2601.552","2419.519"
"MG","02 Oct 2019","2","GT","-0.033","-0.033"
"MG","02 Oct 2019","2","IGS","-0.006","-0.006"
"MG","02 Oct 2019","2","ST","44.736","42.844"
"MG","02 Oct 2019","3","CCGT/COGEN/TRIGEN","2561.307","2378.563"
"MG","02 Oct 2019","3","GT","-0.035","-0.035"
"MG","02 Oct 2019","3","IGS","-0.016","-0.016"
"MG","02 Oct 2019","3","ST","45.122","43.226"
"MG","02 Oct 2019","4","CCGT/COGEN/TRIGEN","2523.290","2339.847"
"MG","02 Oct 2019","4","GT","-0.033","-0.033"
"MG","02 Oct 2019","4","IGS","-0.006","-0.006"
"MG","02 Oct 2019","4","ST","44.788","42.932"
"MG","02 Oct 2019","5","CCGT/COGEN/TRIGEN","2492.069","2308.278"
"MG","02 Oct 2019","5","GT","-0.034","-0.034"
"MG","02 Oct 2019","5","IGS","-0.004","-0.004"
"MG","02 Oct 2019","5","ST","44.021","42.140"
"MG","02 Oct 2019","6","CCGT/COGEN/TRIGEN","2472.150","2288.282"
"MG","02 Oct 2019","6","GT","-0.033","-0.033"
"MG","02 Oct 2019","6","IGS","-0.006","-0.006"
"MG","02 Oct 2019","6","ST","44.582","42.708"
"MG","02 Oct 2019","7","CCGT/COGEN/TRIGEN","2453.426","2268.634"
"MG","02 Oct 2019","7","GT","-0.033","-0.033"
"MG","02 Oct 2019","7","IGS","-0.006","-0.006"
"MG","02 Oct 2019","7","ST","44.646","42.770"
"MG","02 Oct 2019","8","CCGT/COGEN/TRIGEN","2441.512","2256.081"
"MG","02 Oct 2019","8","GT","-0.033","-0.033"
"MG","02 Oct 2019","8","IGS","-0.004","-0.004"
"MG","02 Oct 2019","8","ST","43.078","41.220"
"MG","02 Oct 2019","9","CCGT/COGEN/TRIGEN","2436.755","2250.761"
"MG","02 Oct 2019","9","GT","-0.033","-0.033"
"MG","02 Oct 2019","9","IGS","-0.018","-0.018"
"MG","02 Oct 2019","9","ST","43.662","41.771"
"MG","02 Oct 2019","10","CCGT/COGEN/TRIGEN","2440.148","2254.345"
"MG","02 Oct 2019","10","GT","-0.033","-0.033"
"MG","02 Oct 2019","10","IGS","-0.004","-0.004"
"MG","02 Oct 2019","10","ST","44.317","42.442"
"MG","02 Oct 2019","11","CCGT/COGEN/TRIGEN","2470.892","2285.622"
"MG","02 Oct 2019","11","GT","-0.033","-0.033"
"MG","02 Oct 2019","11","IGS","-0.006","-0.006"
"MG","02 Oct 2019","11","ST","45.220","43.392"
"MG","02 Oct 2019","12","CCGT/COGEN/TRIGEN","2536.533","2351.365"
"MG","02 Oct 2019","12","GT","-0.032","-0.032"
"MG","02 Oct 2019","12","IGS","-0.004","-0.004"
"MG","02 Oct 2019","12","ST","44.144","42.278"
"MG","02 Oct 2019","13","CCGT/COGEN/TRIGEN","2629.637","2444.004"
"MG","02 Oct 2019","13","GT","-0.033","-0.033"
"MG","02 Oct 2019","13","IGS","-0.006","-0.006"
"MG","02 Oct 2019","13","ST","45.410","43.546"
"MG","02 Oct 2019","14","CCGT/COGEN/TRIGEN","2718.303","2532.897"
"MG","02 Oct 2019","14","GT","-0.032","-0.032"
"MG","02 Oct 2019","14","IGS","-0.013","-0.016"
"MG","02 Oct 2019","14","ST","44.531","42.667"
"MG","02 Oct 2019","15","CCGT/COGEN/TRIGEN","2795.207","2609.234"
"MG","02 Oct 2019","15","GT","-0.030","-0.030"
