"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Sep 2019","1","CCGT/COGEN/TRIGEN","2717.547","2496.267"
"MG","01 Sep 2019","1","GT","-0.033","-0.033"
"MG","01 Sep 2019","1","IGS","-0.016","-0.016"
"MG","01 Sep 2019","1","ST","55.953","54.525"
"MG","01 Sep 2019","2","CCGT/COGEN/TRIGEN","2656.282","2434.528"
"MG","01 Sep 2019","2","GT","-0.034","-0.034"
"MG","01 Sep 2019","2","IGS","-0.004","-0.004"
"MG","01 Sep 2019","2","ST","54.660","53.262"
"MG","01 Sep 2019","3","CCGT/COGEN/TRIGEN","2608.035","2387.279"
"MG","01 Sep 2019","3","GT","-0.034","-0.034"
"MG","01 Sep 2019","3","IGS","-0.004","-0.004"
"MG","01 Sep 2019","3","ST","54.591","53.179"
"MG","01 Sep 2019","4","CCGT/COGEN/TRIGEN","2566.816","2346.319"
"MG","01 Sep 2019","4","GT","-0.034","-0.034"
"MG","01 Sep 2019","4","IGS","-0.006","-0.006"
"MG","01 Sep 2019","4","ST","55.197","53.767"
"MG","01 Sep 2019","5","CCGT/COGEN/TRIGEN","2533.263","2312.050"
"MG","01 Sep 2019","5","GT","-0.033","-0.033"
"MG","01 Sep 2019","5","IGS","-0.004","-0.004"
"MG","01 Sep 2019","5","ST","56.257","54.774"
"MG","01 Sep 2019","6","CCGT/COGEN/TRIGEN","2513.939","2291.926"
"MG","01 Sep 2019","6","GT","-0.034","-0.034"
"MG","01 Sep 2019","6","IGS","-0.004","-0.004"
"MG","01 Sep 2019","6","ST","54.120","52.697"
"MG","01 Sep 2019","7","CCGT/COGEN/TRIGEN","2478.116","2255.863"
"MG","01 Sep 2019","7","GT","-0.034","-0.034"
"MG","01 Sep 2019","7","IGS","-0.004","-0.004"
"MG","01 Sep 2019","7","ST","54.176","52.743"
"MG","01 Sep 2019","8","CCGT/COGEN/TRIGEN","2462.328","2238.935"
"MG","01 Sep 2019","8","GT","-0.033","-0.033"
"MG","01 Sep 2019","8","IGS","-0.006","-0.006"
"MG","01 Sep 2019","8","ST","55.951","54.509"
"MG","01 Sep 2019","9","CCGT/COGEN/TRIGEN","2448.389","2223.927"
"MG","01 Sep 2019","9","GT","-0.033","-0.033"
"MG","01 Sep 2019","9","IGS","-0.016","-0.016"
"MG","01 Sep 2019","9","ST","55.664","54.221"
"MG","01 Sep 2019","10","CCGT/COGEN/TRIGEN","2448.044","2223.371"
"MG","01 Sep 2019","10","GT","-0.034","-0.034"
"MG","01 Sep 2019","10","IGS","-0.016","-0.016"
"MG","01 Sep 2019","10","ST","54.879","53.439"
"MG","01 Sep 2019","11","CCGT/COGEN/TRIGEN","2451.183","2225.849"
"MG","01 Sep 2019","11","GT","-0.034","-0.034"
"MG","01 Sep 2019","11","IGS","-0.004","-0.004"
"MG","01 Sep 2019","11","ST","54.241","52.803"
"MG","01 Sep 2019","12","CCGT/COGEN/TRIGEN","2470.456","2245.806"
"MG","01 Sep 2019","12","GT","-0.032","-0.032"
"MG","01 Sep 2019","12","IGS","-0.004","-0.004"
"MG","01 Sep 2019","12","ST","54.597","53.151"
"MG","01 Sep 2019","13","CCGT/COGEN/TRIGEN","2496.205","2271.606"
"MG","01 Sep 2019","13","GT","-0.033","-0.033"
"MG","01 Sep 2019","13","IGS","-0.006","-0.006"
"MG","01 Sep 2019","13","ST","55.736","54.306"
"MG","01 Sep 2019","14","CCGT/COGEN/TRIGEN","2519.007","2294.331"
"MG","01 Sep 2019","14","GT","-0.033","-0.033"
"MG","01 Sep 2019","14","IGS","-0.004","-0.004"
"MG","01 Sep 2019","14","ST","55.964","54.559"
"MG","01 Sep 2019","15","CCGT/COGEN/TRIGEN","2528.331","2304.494"
"MG","01 Sep 2019","15","GT","-0.031","-0.031"
"MG","01 Sep 2019","15","IGS","0.687","0.048"
"MG","01 Sep 2019","15","ST","54.742","53.304"
"MG","01 Sep 2019","16","CCGT/COGEN/TRIGEN","2553.049","2329.606"
"MG","01 Sep 2019","16","GT","-0.029","-0.029"
"MG","01 Sep 2019","16","IGS","3.068","0.534"
"MG","01 Sep 2019","16","ST","54.432","53.003"
"MG","01 Sep 2019","17","CCGT/COGEN/TRIGEN","2622.486","2398.765"
"MG","01 Sep 2019","17","GT","-0.031","-0.031"
"MG","01 Sep 2019","17","IGS","7.144","2.070"
"MG","01 Sep 2019","17","ST","55.567","54.162"
"MG","01 Sep 2019","18","CCGT/COGEN/TRIGEN","2673.919","2449.926"
"MG","01 Sep 2019","18","GT","-0.031","-0.031"
"MG","01 Sep 2019","18","IGS","11.491","4.100"
"MG","01 Sep 2019","18","ST","55.823","54.413"
"MG","01 Sep 2019","19","CCGT/COGEN/TRIGEN","2734.018","2509.980"
"MG","01 Sep 2019","19","GT","-0.032","-0.032"
"MG","01 Sep 2019","19","IGS","16.446","6.799"
"MG","01 Sep 2019","19","ST","55.121","53.700"
"MG","01 Sep 2019","20","CCGT/COGEN/TRIGEN","2777.018","2554.831"
"MG","01 Sep 2019","20","GT","-0.031","-0.031"
"MG","01 Sep 2019","20","IGS","21.836","9.838"
"MG","01 Sep 2019","20","ST","54.297","52.878"
"MG","01 Sep 2019","21","CCGT/COGEN/TRIGEN","2808.081","2587.326"
"MG","01 Sep 2019","21","GT","-0.032","-0.032"
"MG","01 Sep 2019","21","IGS","26.227","13.464"
"MG","01 Sep 2019","21","ST","52.717","51.306"
"MG","01 Sep 2019","22","CCGT/COGEN/TRIGEN","2827.559","2606.237"
"MG","01 Sep 2019","22","GT","-0.032","-0.032"
"MG","01 Sep 2019","22","IGS","30.488","16.535"
"MG","01 Sep 2019","22","ST","53.547","52.135"
"MG","01 Sep 2019","23","CCGT/COGEN/TRIGEN","2849.940","2629.470"
"MG","01 Sep 2019","23","GT","-0.033","-0.033"
"MG","01 Sep 2019","23","IGS","32.225","17.652"
"MG","01 Sep 2019","23","ST","53.576","52.168"
"MG","01 Sep 2019","24","CCGT/COGEN/TRIGEN","2833.208","2611.696"
"MG","01 Sep 2019","24","GT","-0.033","-0.033"
"MG","01 Sep 2019","24","IGS","33.480","18.570"
"MG","01 Sep 2019","24","ST","53.287","51.879"
"MG","01 Sep 2019","25","CCGT/COGEN/TRIGEN","2829.343","2607.201"
"MG","01 Sep 2019","25","GT","-0.034","-0.034"
"MG","01 Sep 2019","25","IGS","33.353","18.348"
"MG","01 Sep 2019","25","ST","54.197","52.786"
"MG","01 Sep 2019","26","CCGT/COGEN/TRIGEN","2827.591","2604.985"
"MG","01 Sep 2019","26","GT","-0.049","-0.049"
"MG","01 Sep 2019","26","IGS","34.647","19.362"
"MG","01 Sep 2019","26","ST","54.675","53.263"
"MG","01 Sep 2019","27","CCGT/COGEN/TRIGEN","2843.422","2621.254"
"MG","01 Sep 2019","27","GT","-0.052","-0.052"
"MG","01 Sep 2019","27","IGS","34.019","18.965"
"MG","01 Sep 2019","27","ST","54.240","52.841"
"MG","01 Sep 2019","28","CCGT/COGEN/TRIGEN","2858.685","2634.939"
"MG","01 Sep 2019","28","GT","-0.053","-0.053"
"MG","01 Sep 2019","28","IGS","34.111","19.264"
"MG","01 Sep 2019","28","ST","54.296","52.886"
"MG","01 Sep 2019","29","CCGT/COGEN/TRIGEN","2853.324","2629.544"
"MG","01 Sep 2019","29","GT","-0.047","-0.047"
"MG","01 Sep 2019","29","IGS","33.152","18.472"
"MG","01 Sep 2019","29","ST","54.211","52.798"
"MG","01 Sep 2019","30","CCGT/COGEN/TRIGEN","2868.020","2644.798"
"MG","01 Sep 2019","30","GT","-0.036","-0.036"
"MG","01 Sep 2019","30","IGS","31.918","17.888"
"MG","01 Sep 2019","30","ST","53.771","52.381"
"MG","01 Sep 2019","31","CCGT/COGEN/TRIGEN","2866.388","2643.152"
"MG","01 Sep 2019","31","GT","-0.036","-0.036"
"MG","01 Sep 2019","31","IGS","28.845","15.667"
"MG","01 Sep 2019","31","ST","53.027","51.635"
"MG","01 Sep 2019","32","CCGT/COGEN/TRIGEN","2876.427","2653.038"
"MG","01 Sep 2019","32","GT","-0.035","-0.035"
"MG","01 Sep 2019","32","IGS","26.831","14.393"
"MG","01 Sep 2019","32","ST","51.887","50.483"
"MG","01 Sep 2019","33","CCGT/COGEN/TRIGEN","2871.407","2647.451"
"MG","01 Sep 2019","33","GT","-0.034","-0.034"
"MG","01 Sep 2019","33","IGS","22.442","11.349"
"MG","01 Sep 2019","33","ST","51.719","50.324"
"MG","01 Sep 2019","34","CCGT/COGEN/TRIGEN","2863.609","2639.386"
"MG","01 Sep 2019","34","GT","-0.034","-0.034"
"MG","01 Sep 2019","34","IGS","17.504","8.170"
"MG","01 Sep 2019","34","ST","53.172","51.761"
"MG","01 Sep 2019","35","CCGT/COGEN/TRIGEN","2868.266","2643.676"
"MG","01 Sep 2019","35","GT","-0.049","-0.049"
"MG","01 Sep 2019","35","IGS","12.951","4.880"
"MG","01 Sep 2019","35","ST","53.110","51.696"
"MG","01 Sep 2019","36","CCGT/COGEN/TRIGEN","2868.012","2643.142"
"MG","01 Sep 2019","36","GT","-0.052","-0.052"
"MG","01 Sep 2019","36","IGS","6.768","1.795"
"MG","01 Sep 2019","36","ST","53.802","52.383"
"MG","01 Sep 2019","37","CCGT/COGEN/TRIGEN","2867.043","2642.598"
"MG","01 Sep 2019","37","GT","-0.053","-0.053"
"MG","01 Sep 2019","37","IGS","2.872","0.378"
"MG","01 Sep 2019","37","ST","54.177","52.743"
"MG","01 Sep 2019","38","CCGT/COGEN/TRIGEN","2919.984","2695.929"
"MG","01 Sep 2019","38","GT","-0.051","-0.051"
"MG","01 Sep 2019","38","IGS","0.820","0.037"
"MG","01 Sep 2019","38","ST","53.901","52.485"
"MG","01 Sep 2019","39","CCGT/COGEN/TRIGEN","2974.114","2749.890"
"MG","01 Sep 2019","39","GT","-0.036","-0.036"
"MG","01 Sep 2019","39","IGS","0.025","0.008"
"MG","01 Sep 2019","39","ST","53.229","51.812"
