,WEP
2020-01-01 00:00:00,70.78
2020-01-01 00:30:00,75.5
2020-01-01 01:00:00,72.69
2020-01-01 01:30:00,70.36
2020-01-01 02:00:00,70.33
2020-01-01 02:30:00,69.55
2020-01-01 03:00:00,68.62
2020-01-01 03:30:00,67.6
2020-01-01 04:00:00,67.04
2020-01-01 04:30:00,67.13
2020-01-01 05:00:00,67.3
2020-01-01 05:30:00,68.46
2020-01-01 06:00:00,69.64
2020-01-01 06:30:00,69.63
2020-01-01 07:00:00,69.51
2020-01-01 07:30:00,74.17
2020-01-01 08:00:00,77.08
2020-01-01 08:30:00,77.6
2020-01-01 09:00:00,81.54
2020-01-01 09:30:00,83.52
2020-01-01 10:00:00,83.58
2020-01-01 10:30:00,82.67
2020-01-01 11:00:00,84.49
2020-01-01 11:30:00,82.51
2020-01-01 12:00:00,82.44
2020-01-01 12:30:00,82.24
2020-01-01 13:00:00,83.33
2020-01-01 13:30:00,83.28
2020-01-01 14:00:00,84.12
2020-01-01 14:30:00,83.35
2020-01-01 15:00:00,83.37
2020-01-01 15:30:00,83.8
2020-01-01 16:00:00,83.88
2020-01-01 16:30:00,85.18
2020-01-01 17:00:00,84.84
2020-01-01 17:30:00,85.04
2020-01-01 18:00:00,85.96
2020-01-01 18:30:00,101.29
2020-01-01 19:00:00,115.93
2020-01-01 19:30:00,104.52
2020-01-01 20:00:00,115.99
2020-01-01 20:30:00,126.47
2020-01-01 21:00:00,113.27
2020-01-01 21:30:00,101.13
2020-01-01 22:00:00,104.91
2020-01-01 22:30:00,87.73
2020-01-01 23:00:00,86.63
2020-01-01 23:30:00,84.95
2020-01-02 00:00:00,78.36
2020-01-02 00:30:00,74.99
2020-01-02 01:00:00,68.8
2020-01-02 01:30:00,67.61
2020-01-02 02:00:00,65.92
2020-01-02 02:30:00,65.36
2020-01-02 03:00:00,64.78
2020-01-02 03:30:00,64.87
2020-01-02 04:00:00,64.76
2020-01-02 04:30:00,65.23
2020-01-02 05:00:00,67.0
2020-01-02 05:30:00,70.55
2020-01-02 06:00:00,71.53
2020-01-02 06:30:00,77.15
2020-01-02 07:00:00,77.6
2020-01-02 07:30:00,85.38
2020-01-02 08:00:00,88.02
2020-01-02 08:30:00,94.85
2020-01-02 09:00:00,115.47
2020-01-02 09:30:00,142.65
2020-01-02 10:00:00,247.67
2020-01-02 10:30:00,257.53
2020-01-02 11:00:00,256.9
2020-01-02 11:30:00,218.38
2020-01-02 12:00:00,214.54
2020-01-02 12:30:00,215.19
2020-01-02 13:00:00,257.74
2020-01-02 13:30:00,217.74
2020-01-02 14:00:00,191.22
2020-01-02 14:30:00,190.52
2020-01-02 15:00:00,259.87
2020-01-02 15:30:00,254.57
2020-01-02 16:00:00,217.73
2020-01-02 16:30:00,217.9
2020-01-02 17:00:00,182.56
2020-01-02 17:30:00,100.78
2020-01-02 18:00:00,107.89
2020-01-02 18:30:00,101.88
2020-01-02 19:00:00,104.77
2020-01-02 19:30:00,103.77
2020-01-02 20:00:00,103.57
2020-01-02 20:30:00,96.49
2020-01-02 21:00:00,99.91
2020-01-02 21:30:00,90.79
2020-01-02 22:00:00,88.53
2020-01-02 22:30:00,81.04
2020-01-02 23:00:00,81.95
2020-01-02 23:30:00,76.13
2020-01-03 00:00:00,74.54
2020-01-03 00:30:00,70.95
2020-01-03 01:00:00,70.06
2020-01-03 01:30:00,69.17
2020-01-03 02:00:00,68.22
2020-01-03 02:30:00,66.35
2020-01-03 03:00:00,66.32
2020-01-03 03:30:00,65.33
2020-01-03 04:00:00,65.32
2020-01-03 04:30:00,66.4
2020-01-03 05:00:00,68.32
2020-01-03 05:30:00,70.84
2020-01-03 06:00:00,76.38
2020-01-03 06:30:00,81.26
2020-01-03 07:00:00,82.13
2020-01-03 07:30:00,93.14
2020-01-03 08:00:00,103.33
2020-01-03 08:30:00,105.68
2020-01-03 09:00:00,165.15
2020-01-03 09:30:00,216.22
2020-01-03 10:00:00,191.41
2020-01-03 10:30:00,217.99
2020-01-03 11:00:00,212.98
2020-01-03 11:30:00,217.74
2020-01-03 12:00:00,214.81
2020-01-03 12:30:00,237.13
2020-01-03 13:00:00,264.98
2020-01-03 13:30:00,195.83
2020-01-03 14:00:00,264.76
2020-01-03 14:30:00,252.66
2020-01-03 15:00:00,269.7
2020-01-03 15:30:00,269.6
2020-01-03 16:00:00,267.21
2020-01-03 16:30:00,259.85
2020-01-03 17:00:00,186.98
2020-01-03 17:30:00,125.79
2020-01-03 18:00:00,124.8
2020-01-03 18:30:00,124.52
2020-01-03 19:00:00,114.87
2020-01-03 19:30:00,111.84
2020-01-03 20:00:00,113.88
2020-01-03 20:30:00,101.39
2020-01-03 21:00:00,100.08
2020-01-03 21:30:00,93.52
2020-01-03 22:00:00,90.76
2020-01-03 22:30:00,84.49
2020-01-03 23:00:00,84.37
2020-01-03 23:30:00,80.66
2020-01-04 00:00:00,81.09
2020-01-04 00:30:00,77.37
2020-01-04 01:00:00,76.76
2020-01-04 01:30:00,71.62
2020-01-04 02:00:00,70.71
2020-01-04 02:30:00,69.96
2020-01-04 03:00:00,69.4
2020-01-04 03:30:00,68.83
2020-01-04 04:00:00,68.82
2020-01-04 04:30:00,69.4
2020-01-04 05:00:00,69.55
2020-01-04 05:30:00,71.04
2020-01-04 06:00:00,73.03
2020-01-04 06:30:00,74.79
2020-01-04 07:00:00,75.46
2020-01-04 07:30:00,80.32
2020-01-04 08:00:00,86.59
2020-01-04 08:30:00,85.33
2020-01-04 09:00:00,98.8
2020-01-04 09:30:00,119.3
2020-01-04 10:00:00,138.22
2020-01-04 10:30:00,160.95
2020-01-04 11:00:00,144.92
2020-01-04 11:30:00,119.06
2020-01-04 12:00:00,103.85
2020-01-04 12:30:00,100.7
2020-01-04 13:00:00,99.86
2020-01-04 13:30:00,99.35
2020-01-04 14:00:00,95.83
2020-01-04 14:30:00,88.08
2020-01-04 15:00:00,85.63
2020-01-04 15:30:00,83.51
2020-01-04 16:00:00,83.39
2020-01-04 16:30:00,81.48
2020-01-04 17:00:00,81.38
2020-01-04 17:30:00,81.67
2020-01-04 18:00:00,81.62
2020-01-04 18:30:00,85.16
2020-01-04 19:00:00,86.63
2020-01-04 19:30:00,89.85
