Date,Price,Open,High,Low,InterpolateSLinear_Price,InterpolateSLinear_Open,InterpolateSLinear_High,InterpolateSLinear_Low
2019-01-01,0.515,0.51,0.525,0.505,0.515,0.51,0.525,0.505
2019-01-02,0.515,0.51,0.525,0.505,0.515,0.51,0.525,0.505
2019-01-03,0.505,0.515,0.525,0.505,0.505,0.515,0.525,0.505
2019-01-04,0.505,0.51,0.51,0.4970000000000001,0.505,0.51,0.51,0.4970000000000001
2019-01-05,,,,,0.51,0.5066666666666666,0.5133333333333333,0.49633333333333335
2019-01-06,,,,,0.515,0.5033333333333333,0.5166666666666666,0.49566666666666664
2019-01-07,0.52,0.5,0.52,0.495,0.52,0.5,0.52,0.495
2019-01-08,0.54,0.515,0.54,0.515,0.54,0.515,0.54,0.515
2019-01-09,0.59,0.535,0.6,0.535,0.59,0.535,0.6,0.535
2019-01-10,0.535,0.585,0.585,0.535,0.535,0.585,0.585,0.535
2019-01-11,0.565,0.54,0.575,0.535,0.565,0.54,0.575,0.535
2019-01-12,,,,,0.5666666666666665,0.5483333333333333,0.5816666666666666,0.5449999999999999
2019-01-13,,,,,0.5683333333333332,0.5566666666666666,0.5883333333333333,0.5549999999999999
2019-01-14,0.57,0.565,0.595,0.565,0.57,0.565,0.595,0.565
2019-01-15,0.57,0.58,0.585,0.57,0.57,0.58,0.585,0.57
2019-01-16,0.575,0.575,0.585,0.565,0.575,0.575,0.585,0.565
2019-01-17,0.56,0.58,0.58,0.55,0.56,0.58,0.58,0.55
2019-01-18,0.57,0.565,0.58,0.565,0.57,0.565,0.58,0.565
2019-01-19,,,,,0.5666666666666667,0.5666666666666665,0.5799999999999998,0.5616666666666665
2019-01-20,,,,,0.5633333333333334,0.5683333333333332,0.5799999999999998,0.5583333333333333
2019-01-21,0.56,0.57,0.58,0.555,0.56,0.57,0.58,0.555
2019-01-22,0.565,0.555,0.565,0.555,0.565,0.555,0.565,0.555
2019-01-23,0.535,0.55,0.555,0.53,0.535,0.55,0.555,0.53
2019-01-24,0.535,0.54,0.55,0.53,0.535,0.54,0.55,0.53
2019-01-25,0.525,0.535,0.54,0.515,0.525,0.535,0.54,0.515
2019-01-26,,,,,0.51875,0.5325,0.5387500000000001,0.50875
2019-01-27,,,,,0.5125,0.53,0.5375000000000001,0.5025
2019-01-28,,,,,0.50625,0.5275000000000001,0.53625,0.49624999999999997
2019-01-29,0.5,0.525,0.535,0.49,0.5,0.525,0.535,0.49
2019-01-30,0.52,0.505,0.535,0.505,0.52,0.505,0.535,0.505
2019-01-31,0.51,0.515,0.53,0.51,0.51,0.515,0.53,0.51
2019-02-01,0.495,0.52,0.52,0.49,0.495,0.52,0.52,0.49
2019-02-02,,,,,0.49499999999999994,0.5116666666666667,0.5133333333333333,0.49
2019-02-03,,,,,0.49499999999999994,0.5033333333333333,0.5066666666666666,0.49
2019-02-04,0.495,0.495,0.5,0.49,0.495,0.495,0.5,0.49
2019-02-05,0.49,0.495,0.515,0.49,0.49,0.495,0.515,0.49
2019-02-06,0.5,0.495,0.505,0.495,0.5,0.495,0.505,0.495
2019-02-07,0.495,0.5,0.505,0.495,0.495,0.5,0.505,0.495
2019-02-08,0.495,0.5,0.5,0.49,0.495,0.5,0.5,0.49
2019-02-09,,,,,0.4933333333333333,0.5,0.5,0.4883333333333333
2019-02-10,,,,,0.49166666666666664,0.5,0.5,0.48666666666666664
2019-02-11,0.49,0.5,0.5,0.485,0.49,0.5,0.5,0.485
2019-02-12,0.48,0.49,0.495,0.47,0.48,0.49,0.495,0.47
