"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Dec 2019","1","CCGT/COGEN/TRIGEN","2609.399","2441.812"
"MG","01 Dec 2019","1","GT","-0.033","-0.033"
"MG","01 Dec 2019","1","IGS","-0.006","-0.006"
"MG","01 Dec 2019","1","ST","50.009","47.554"
"MG","01 Dec 2019","2","CCGT/COGEN/TRIGEN","2558.740","2390.054"
"MG","01 Dec 2019","2","GT","-0.033","-0.033"
"MG","01 Dec 2019","2","IGS","-0.006","-0.006"
"MG","01 Dec 2019","2","ST","50.735","48.238"
"MG","01 Dec 2019","3","CCGT/COGEN/TRIGEN","2514.721","2350.642"
"MG","01 Dec 2019","3","GT","-0.033","-0.033"
"MG","01 Dec 2019","3","IGS","-0.004","-0.004"
"MG","01 Dec 2019","3","ST","50.526","48.018"
"MG","01 Dec 2019","4","CCGT/COGEN/TRIGEN","2475.750","2309.648"
"MG","01 Dec 2019","4","GT","-0.032","-0.032"
"MG","01 Dec 2019","4","IGS","-0.006","-0.006"
"MG","01 Dec 2019","4","ST","51.401","48.899"
"MG","01 Dec 2019","5","CCGT/COGEN/TRIGEN","2442.143","2275.316"
"MG","01 Dec 2019","5","GT","-0.034","-0.034"
"MG","01 Dec 2019","5","IGS","-0.005","-0.006"
"MG","01 Dec 2019","5","ST","50.902","48.387"
"MG","01 Dec 2019","6","CCGT/COGEN/TRIGEN","2417.990","2251.500"
"MG","01 Dec 2019","6","GT","-0.032","-0.032"
"MG","01 Dec 2019","6","IGS","-0.004","-0.004"
"MG","01 Dec 2019","6","ST","50.626","48.117"
"MG","01 Dec 2019","7","CCGT/COGEN/TRIGEN","2400.223","2234.326"
"MG","01 Dec 2019","7","GT","-0.032","-0.032"
"MG","01 Dec 2019","7","IGS","-0.005","-0.006"
"MG","01 Dec 2019","7","ST","51.234","48.726"
"MG","01 Dec 2019","8","CCGT/COGEN/TRIGEN","2378.312","2212.944"
"MG","01 Dec 2019","8","GT","-0.033","-0.033"
"MG","01 Dec 2019","8","IGS","-0.006","-0.006"
"MG","01 Dec 2019","8","ST","53.253","50.752"
"MG","01 Dec 2019","9","CCGT/COGEN/TRIGEN","2363.380","2197.717"
"MG","01 Dec 2019","9","GT","-0.032","-0.032"
"MG","01 Dec 2019","9","IGS","-0.006","-0.006"
"MG","01 Dec 2019","9","ST","54.282","51.808"
"MG","01 Dec 2019","10","CCGT/COGEN/TRIGEN","2364.371","2197.433"
"MG","01 Dec 2019","10","GT","-0.032","-0.032"
"MG","01 Dec 2019","10","IGS","-0.004","-0.004"
"MG","01 Dec 2019","10","ST","53.515","51.079"
"MG","01 Dec 2019","11","CCGT/COGEN/TRIGEN","2374.427","2207.169"
"MG","01 Dec 2019","11","GT","-0.031","-0.031"
"MG","01 Dec 2019","11","IGS","-0.006","-0.006"
"MG","01 Dec 2019","11","ST","55.253","52.821"
