"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Jun 2019","1","CCGT/COGEN/TRIGEN","2779.933","2647.733"
"MG","01 Jun 2019","1","GT","-0.033","-0.033"
"MG","01 Jun 2019","1","IGS","-0.004","-0.004"
"MG","01 Jun 2019","1","ST","47.686","46.171"
"MG","01 Jun 2019","2","CCGT/COGEN/TRIGEN","2721.160","2588.822"
"MG","01 Jun 2019","2","GT","-0.033","-0.033"
"MG","01 Jun 2019","2","IGS","-0.004","-0.004"
"MG","01 Jun 2019","2","ST","48.101","46.572"
"MG","01 Jun 2019","3","CCGT/COGEN/TRIGEN","2671.673","2539.369"
"MG","01 Jun 2019","3","GT","-0.032","-0.032"
"MG","01 Jun 2019","3","IGS","-0.004","-0.004"
"MG","01 Jun 2019","3","ST","46.395","44.871"
"MG","01 Jun 2019","4","CCGT/COGEN/TRIGEN","2628.329","2495.654"
"MG","01 Jun 2019","4","GT","-0.032","-0.032"
"MG","01 Jun 2019","4","IGS","-0.006","-0.006"
"MG","01 Jun 2019","4","ST","46.921","45.408"
"MG","01 Jun 2019","5","CCGT/COGEN/TRIGEN","2590.347","2457.518"
"MG","01 Jun 2019","5","GT","-0.032","-0.032"
"MG","01 Jun 2019","5","IGS","-0.004","-0.004"
"MG","01 Jun 2019","5","ST","45.716","44.208"
"MG","01 Jun 2019","6","CCGT/COGEN/TRIGEN","2557.412","2424.472"
"MG","01 Jun 2019","6","GT","-0.033","-0.033"
"MG","01 Jun 2019","6","IGS","-0.004","-0.004"
"MG","01 Jun 2019","6","ST","46.582","45.062"
"MG","01 Jun 2019","7","CCGT/COGEN/TRIGEN","2525.214","2392.578"
"MG","01 Jun 2019","7","GT","-0.032","-0.032"
"MG","01 Jun 2019","7","IGS","-0.004","-0.004"
"MG","01 Jun 2019","7","ST","47.464","45.935"
"MG","01 Jun 2019","8","CCGT/COGEN/TRIGEN","2514.771","2382.245"
"MG","01 Jun 2019","8","GT","-0.032","-0.032"
"MG","01 Jun 2019","8","IGS","-0.004","-0.004"
"MG","01 Jun 2019","8","ST","46.972","45.448"
"MG","01 Jun 2019","9","CCGT/COGEN/TRIGEN","2507.964","2375.500"
"MG","01 Jun 2019","9","GT","-0.033","-0.033"
"MG","01 Jun 2019","9","IGS","-0.006","-0.006"
"MG","01 Jun 2019","9","ST","50.024","48.497"
"MG","01 Jun 2019","10","CCGT/COGEN/TRIGEN","2506.831","2374.752"
"MG","01 Jun 2019","10","GT","-0.032","-0.032"
"MG","01 Jun 2019","10","IGS","-0.004","-0.004"
"MG","01 Jun 2019","10","ST","50.287","48.777"
"MG","01 Jun 2019","11","CCGT/COGEN/TRIGEN","2509.152","2376.940"
"MG","01 Jun 2019","11","GT","-0.032","-0.032"
"MG","01 Jun 2019","11","IGS","-0.004","-0.004"
"MG","01 Jun 2019","11","ST","49.046","47.535"
"MG","01 Jun 2019","12","CCGT/COGEN/TRIGEN","2529.067","2396.662"
"MG","01 Jun 2019","12","GT","-0.032","-0.032"
"MG","01 Jun 2019","12","IGS","-0.004","-0.004"
"MG","01 Jun 2019","12","ST","49.015","47.495"
"MG","01 Jun 2019","13","CCGT/COGEN/TRIGEN","2569.623","2436.827"
"MG","01 Jun 2019","13","GT","-0.033","-0.033"
"MG","01 Jun 2019","13","IGS","-0.006","-0.006"
"MG","01 Jun 2019","13","ST","51.060","49.544"
"MG","01 Jun 2019","14","CCGT/COGEN/TRIGEN","2583.573","2451.087"
"MG","01 Jun 2019","14","GT","-0.032","-0.032"
"MG","01 Jun 2019","14","IGS","-0.004","-0.004"
"MG","01 Jun 2019","14","ST","50.306","48.787"
"MG","01 Jun 2019","15","CCGT/COGEN/TRIGEN","2623.614","2491.305"
"MG","01 Jun 2019","15","GT","-0.029","-0.029"
"MG","01 Jun 2019","15","IGS","0.547","0.017"
"MG","01 Jun 2019","15","ST","49.824","48.307"
"MG","01 Jun 2019","16","CCGT/COGEN/TRIGEN","2685.722","2553.666"
"MG","01 Jun 2019","16","GT","-0.030","-0.030"
"MG","01 Jun 2019","16","IGS","2.715","0.598"
"MG","01 Jun 2019","16","ST","50.668","49.167"
"MG","01 Jun 2019","17","CCGT/COGEN/TRIGEN","2802.603","2670.063"
"MG","01 Jun 2019","17","GT","-0.029","-0.029"
"MG","01 Jun 2019","17","IGS","3.945","0.764"
"MG","01 Jun 2019","17","ST","50.288","48.800"
"MG","01 Jun 2019","18","CCGT/COGEN/TRIGEN","2884.901","2752.339"
"MG","01 Jun 2019","18","GT","-0.029","-0.029"
"MG","01 Jun 2019","18","IGS","5.827","0.811"
"MG","01 Jun 2019","18","ST","50.912","49.432"
"MG","01 Jun 2019","19","CCGT/COGEN/TRIGEN","2959.393","2826.573"
"MG","01 Jun 2019","19","GT","-0.030","-0.030"
"MG","01 Jun 2019","19","IGS","9.281","2.463"
"MG","01 Jun 2019","19","ST","49.847","48.393"
"MG","01 Jun 2019","20","CCGT/COGEN/TRIGEN","2999.776","2867.193"
"MG","01 Jun 2019","20","GT","-0.029","-0.029"
"MG","01 Jun 2019","20","IGS","12.021","3.926"
"MG","01 Jun 2019","20","ST","49.832","48.397"
"MG","01 Jun 2019","21","CCGT/COGEN/TRIGEN","3051.276","2918.761"
"MG","01 Jun 2019","21","GT","-0.029","-0.029"
"MG","01 Jun 2019","21","IGS","13.804","4.881"
"MG","01 Jun 2019","21","ST","48.514","47.065"
"MG","01 Jun 2019","22","CCGT/COGEN/TRIGEN","3067.208","2934.825"
"MG","01 Jun 2019","22","GT","-0.029","-0.029"
"MG","01 Jun 2019","22","IGS","19.107","7.741"
"MG","01 Jun 2019","22","ST","47.568","46.107"
"MG","01 Jun 2019","23","CCGT/COGEN/TRIGEN","3070.897","2938.812"
"MG","01 Jun 2019","23","GT","-0.030","-0.030"
"MG","01 Jun 2019","23","IGS","18.982","6.443"
"MG","01 Jun 2019","23","ST","48.212","46.726"
"MG","01 Jun 2019","24","CCGT/COGEN/TRIGEN","3054.283","2922.516"
"MG","01 Jun 2019","24","GT","-0.031","-0.031"
"MG","01 Jun 2019","24","IGS","19.188","6.036"
"MG","01 Jun 2019","24","ST","48.111","46.627"
"MG","01 Jun 2019","25","CCGT/COGEN/TRIGEN","3020.027","2888.432"
"MG","01 Jun 2019","25","GT","-0.030","-0.030"
"MG","01 Jun 2019","25","IGS","20.316","6.543"
"MG","01 Jun 2019","25","ST","47.697","46.218"
"MG","01 Jun 2019","26","CCGT/COGEN/TRIGEN","2995.849","2864.444"
"MG","01 Jun 2019","26","GT","-0.031","-0.031"
"MG","01 Jun 2019","26","IGS","19.166","6.677"
"MG","01 Jun 2019","26","ST","48.254","46.767"
"MG","01 Jun 2019","27","CCGT/COGEN/TRIGEN","2983.874","2852.997"
"MG","01 Jun 2019","27","GT","-0.031","-0.031"
"MG","01 Jun 2019","27","IGS","18.960","6.656"
"MG","01 Jun 2019","27","ST","47.950","46.442"
"MG","01 Jun 2019","28","CCGT/COGEN/TRIGEN","2984.348","2853.746"
"MG","01 Jun 2019","28","GT","-0.031","-0.031"
"MG","01 Jun 2019","28","IGS","18.918","6.961"
"MG","01 Jun 2019","28","ST","48.117","46.603"
"MG","01 Jun 2019","29","CCGT/COGEN/TRIGEN","2978.053","2847.646"
"MG","01 Jun 2019","29","GT","-0.030","-0.030"
"MG","01 Jun 2019","29","IGS","18.524","6.770"
"MG","01 Jun 2019","29","ST","48.037","46.522"
"MG","01 Jun 2019","30","CCGT/COGEN/TRIGEN","2972.523","2842.217"
"MG","01 Jun 2019","30","GT","-0.054","-0.054"
"MG","01 Jun 2019","30","IGS","15.573","5.315"
"MG","01 Jun 2019","30","ST","47.367","45.859"
"MG","01 Jun 2019","31","CCGT/COGEN/TRIGEN","2951.665","2821.628"
"MG","01 Jun 2019","31","GT","-0.048","-0.048"
"MG","01 Jun 2019","31","IGS","13.673","3.689"
"MG","01 Jun 2019","31","ST","47.447","45.938"
"MG","01 Jun 2019","32","CCGT/COGEN/TRIGEN","2950.872","2820.710"
"MG","01 Jun 2019","32","GT","-0.048","-0.048"
"MG","01 Jun 2019","32","IGS","10.972","2.622"
"MG","01 Jun 2019","32","ST","48.057","46.516"
"MG","01 Jun 2019","33","CCGT/COGEN/TRIGEN","2928.976","2798.099"
"MG","01 Jun 2019","33","GT","-0.035","-0.035"
"MG","01 Jun 2019","33","IGS","8.984","2.157"
"MG","01 Jun 2019","33","ST","49.405","47.861"
"MG","01 Jun 2019","34","CCGT/COGEN/TRIGEN","2908.977","2777.890"
"MG","01 Jun 2019","34","GT","-0.032","-0.032"
"MG","01 Jun 2019","34","IGS","6.753","1.462"
"MG","01 Jun 2019","34","ST","49.810","48.279"
"MG","01 Jun 2019","35","CCGT/COGEN/TRIGEN","2890.009","2758.530"
"MG","01 Jun 2019","35","GT","-0.030","-0.030"
"MG","01 Jun 2019","35","IGS","4.927","0.992"
"MG","01 Jun 2019","35","ST","49.327","47.817"
"MG","01 Jun 2019","36","CCGT/COGEN/TRIGEN","2873.861","2742.083"
"MG","01 Jun 2019","36","GT","-0.029","-0.029"
"MG","01 Jun 2019","36","IGS","3.062","0.297"
"MG","01 Jun 2019","36","ST","50.729","49.199"
"MG","01 Jun 2019","37","CCGT/COGEN/TRIGEN","2872.145","2740.310"
"MG","01 Jun 2019","37","GT","-0.029","-0.029"
"MG","01 Jun 2019","37","IGS","1.639","0.024"
"MG","01 Jun 2019","37","ST","48.578","47.015"
"MG","01 Jun 2019","38","CCGT/COGEN/TRIGEN","2884.347","2752.230"
"MG","01 Jun 2019","38","GT","-0.050","-0.050"
"MG","01 Jun 2019","38","IGS","0.568","0.006"
"MG","01 Jun 2019","38","ST","49.695","48.189"
"MG","01 Jun 2019","39","CCGT/COGEN/TRIGEN","2917.380","2784.921"
"MG","01 Jun 2019","39","GT","-0.051","-0.051"
"MG","01 Jun 2019","39","IGS","-0.006","-0.006"
"MG","01 Jun 2019","39","ST","50.007","48.497"
"MG","01 Jun 2019","40","CCGT/COGEN/TRIGEN","2938.970","2806.193"
"MG","01 Jun 2019","40","GT","-0.050","-0.050"
"MG","01 Jun 2019","40","IGS","-0.004","-0.004"
"MG","01 Jun 2019","40","ST","49.019","47.484"
"MG","01 Jun 2019","41","CCGT/COGEN/TRIGEN","2944.664","2811.991"
"MG","01 Jun 2019","41","GT","-0.041","-0.041"
