"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Nov 2019","1","CCGT/COGEN/TRIGEN","2645.123","2483.970"
"MG","01 Nov 2019","1","GT","-0.035","-0.035"
"MG","01 Nov 2019","1","IGS","-0.006","-0.006"
"MG","01 Nov 2019","1","ST","50.601","48.526"
"MG","01 Nov 2019","2","CCGT/COGEN/TRIGEN","2581.206","2422.470"
"MG","01 Nov 2019","2","GT","-0.033","-0.033"
"MG","01 Nov 2019","2","IGS","-0.004","-0.004"
"MG","01 Nov 2019","2","ST","48.815","46.740"
"MG","01 Nov 2019","3","CCGT/COGEN/TRIGEN","2529.916","2371.183"
"MG","01 Nov 2019","3","GT","-0.034","-0.034"
"MG","01 Nov 2019","3","IGS","-0.006","-0.006"
"MG","01 Nov 2019","3","ST","49.184","47.149"
"MG","01 Nov 2019","4","CCGT/COGEN/TRIGEN","2478.559","2319.988"
"MG","01 Nov 2019","4","GT","-0.034","-0.034"
"MG","01 Nov 2019","4","IGS","-0.006","-0.006"
"MG","01 Nov 2019","4","ST","48.774","46.774"
"MG","01 Nov 2019","5","CCGT/COGEN/TRIGEN","2444.632","2287.836"
"MG","01 Nov 2019","5","GT","-0.033","-0.033"
"MG","01 Nov 2019","5","IGS","-0.016","-0.016"
"MG","01 Nov 2019","5","ST","48.219","46.223"
"MG","01 Nov 2019","6","CCGT/COGEN/TRIGEN","2409.468","2252.600"
"MG","01 Nov 2019","6","GT","-0.033","-0.033"
"MG","01 Nov 2019","6","IGS","-0.006","-0.006"
"MG","01 Nov 2019","6","ST","49.066","47.038"
"MG","01 Nov 2019","7","CCGT/COGEN/TRIGEN","2386.716","2229.887"
"MG","01 Nov 2019","7","GT","-0.033","-0.033"
"MG","01 Nov 2019","7","IGS","-0.006","-0.006"
"MG","01 Nov 2019","7","ST","47.723","45.656"
"MG","01 Nov 2019","8","CCGT/COGEN/TRIGEN","2376.495","2220.232"
"MG","01 Nov 2019","8","GT","-0.032","-0.032"
"MG","01 Nov 2019","8","IGS","-0.006","-0.006"
"MG","01 Nov 2019","8","ST","48.465","46.337"
"MG","01 Nov 2019","9","CCGT/COGEN/TRIGEN","2364.939","2209.381"
"MG","01 Nov 2019","9","GT","-0.034","-0.034"
"MG","01 Nov 2019","9","IGS","-0.004","-0.004"
"MG","01 Nov 2019","9","ST","51.019","48.823"
"MG","01 Nov 2019","10","CCGT/COGEN/TRIGEN","2363.918","2208.512"
"MG","01 Nov 2019","10","GT","-0.032","-0.032"
"MG","01 Nov 2019","10","IGS","-0.006","-0.006"
"MG","01 Nov 2019","10","ST","51.216","49.003"
"MG","01 Nov 2019","11","CCGT/COGEN/TRIGEN","2388.752","2233.388"
"MG","01 Nov 2019","11","GT","-0.034","-0.034"
"MG","01 Nov 2019","11","IGS","-0.005","-0.006"
"MG","01 Nov 2019","11","ST","51.313","49.109"
"MG","01 Nov 2019","12","CCGT/COGEN/TRIGEN","2440.743","2285.807"
"MG","01 Nov 2019","12","GT","-0.032","-0.032"
"MG","01 Nov 2019","12","IGS","-0.004","-0.004"
"MG","01 Nov 2019","12","ST","50.273","48.080"
"MG","01 Nov 2019","13","CCGT/COGEN/TRIGEN","2534.348","2379.474"
"MG","01 Nov 2019","13","GT","-0.033","-0.033"
"MG","01 Nov 2019","13","IGS","-0.006","-0.006"
"MG","01 Nov 2019","13","ST","50.816","48.636"
"MG","01 Nov 2019","14","CCGT/COGEN/TRIGEN","2627.398","2472.381"
"MG","01 Nov 2019","14","GT","-0.034","-0.034"
"MG","01 Nov 2019","14","IGS","0.023","-0.006"
"MG","01 Nov 2019","14","ST","51.048","48.864"
"MG","01 Nov 2019","15","CCGT/COGEN/TRIGEN","2700.180","2545.897"
"MG","01 Nov 2019","15","GT","-0.031","-0.031"
"MG","01 Nov 2019","15","IGS","1.198","0.140"
"MG","01 Nov 2019","15","ST","51.582","49.395"
"MG","01 Nov 2019","16","CCGT/COGEN/TRIGEN","2807.799","2653.909"
"MG","01 Nov 2019","16","GT","-0.029","-0.029"
"MG","01 Nov 2019","16","IGS","5.320","1.138"
"MG","01 Nov 2019","16","ST","51.528","49.343"
"MG","01 Nov 2019","17","CCGT/COGEN/TRIGEN","2934.845","2780.978"
"MG","01 Nov 2019","17","GT","-0.031","-0.031"
"MG","01 Nov 2019","17","IGS","12.149","4.145"
"MG","01 Nov 2019","17","ST","51.563","49.375"
"MG","01 Nov 2019","18","CCGT/COGEN/TRIGEN","3038.095","2883.990"
"MG","01 Nov 2019","18","GT","-0.031","-0.031"
"MG","01 Nov 2019","18","IGS","14.971","5.220"
"MG","01 Nov 2019","18","ST","50.067","47.922"
"MG","01 Nov 2019","19","CCGT/COGEN/TRIGEN","3112.906","2958.749"
"MG","01 Nov 2019","19","GT","-0.033","-0.033"
"MG","01 Nov 2019","19","IGS","19.027","6.833"
"MG","01 Nov 2019","19","ST","48.343","46.183"
"MG","01 Nov 2019","20","CCGT/COGEN/TRIGEN","3164.832","3010.598"
"MG","01 Nov 2019","20","GT","-0.034","-0.034"
"MG","01 Nov 2019","20","IGS","25.451","10.334"
"MG","01 Nov 2019","20","ST","49.304","47.110"
"MG","01 Nov 2019","21","CCGT/COGEN/TRIGEN","3203.314","3048.496"
"MG","01 Nov 2019","21","GT","-0.045","-0.045"
"MG","01 Nov 2019","21","IGS","31.829","13.989"
"MG","01 Nov 2019","21","ST","48.632","46.299"
"MG","01 Nov 2019","22","CCGT/COGEN/TRIGEN","3209.331","3054.497"
"MG","01 Nov 2019","22","GT","-0.075","-0.075"
"MG","01 Nov 2019","22","IGS","35.876","16.618"
"MG","01 Nov 2019","22","ST","49.335","47.051"
"MG","01 Nov 2019","23","CCGT/COGEN/TRIGEN","3228.786","3073.603"
"MG","01 Nov 2019","23","GT","-0.071","-0.071"
"MG","01 Nov 2019","23","IGS","37.242","17.171"
"MG","01 Nov 2019","23","ST","49.090","46.839"
