"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Jan 2019","1","83.33","82.70","0.03","-0.15","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","2","83.83","82.71","0.02","0.35","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","3","83.19","82.70","0.02","-0.28","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","4","83.13","82.69","0.02","-0.33","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","5","83.20","82.67","0.02","-0.23","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","6","78.81","77.66","0.02","0.38","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","7","78.30","77.16","0.02","0.37","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","8","73.55","72.58","0.02","0.20","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","9","73.65","72.57","0.02","0.32","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","10","73.41","72.57","0.02","0.08","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","11","73.46","72.57","0.02","0.12","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","12","73.65","72.57","0.03","0.30","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","13","73.38","72.50","0.05","0.08","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","14","73.29","72.50","0.05","-0.01","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","15","73.49","72.51","0.28","-0.04","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","16","73.57","72.53","0.28","0.01","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","17","73.49","72.53","0.28","-0.07","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","18","73.55","72.91","0.27","-0.38","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","19","78.70","77.69","0.25","0.01","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","20","78.49","77.69","0.05","0.01","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","21","78.69","77.69","0.05","0.20","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","22","75.28","74.37","0.03","0.13","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","23","75.20","74.38","0.03","0.04","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","24","75.50","74.88","0.03","-0.16","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","25","75.25","74.58","0.03","-0.10","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","26","75.56","74.93","0.03","-0.15","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","27","74.79","74.26","0.03","-0.25","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","28","75.51","74.94","0.03","-0.21","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","29","75.14","74.75","0.03","-0.38","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","30","76.36","75.75","0.03","-0.17","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","31","78.29","77.69","0.07","-0.21","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","32","74.97","74.51","0.03","-0.32","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","33","75.28","74.83","0.03","-0.32","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","34","78.26","77.69","0.08","-0.26","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","35","78.16","77.71","0.08","-0.38","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","36","78.07","77.71","0.24","-0.62","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","37","78.25","77.71","0.24","-0.45","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","38","78.27","77.72","0.23","-0.43","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","39","83.40","82.81","0.23","-0.39","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","40","83.33","82.82","0.04","-0.27","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","41","83.36","82.82","0.04","-0.25","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","42","83.50","82.82","0.19","-0.26","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","43","89.18","88.53","0.21","-0.31","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","44","83.32","82.82","0.19","-0.43","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","45","83.41","82.79","0.03","-0.16","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","46","83.47","82.77","0.04","-0.08","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","47","83.35","82.77","0.03","-0.20","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","01 Jan 2019","48","83.06","82.76","0.03","-0.48","0.00","0.19","0.3016","0.0036","0.2516"
"WEP","02 Jan 2019","1","75.85","75.16","0.03","-0.06","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","2","73.74","72.99","0.02","0.01","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","3","73.12","72.54","0.02","-0.15","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","4","73.36","72.53","0.02","0.09","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","5","72.59","71.82","0.02","0.03","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","6","71.87","71.25","0.02","-0.12","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","7","71.80","71.17","0.02","-0.11","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","8","71.20","70.82","0.02","-0.36","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","9","71.54","70.86","0.02","-0.06","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","10","71.90","71.03","0.02","0.13","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","11","72.42","71.49","0.02","0.19","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","12","73.17","72.54","0.03","-0.12","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","13","73.22","72.82","0.03","-0.35","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","14","75.51","74.97","0.05","-0.23","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","15","75.14","74.67","0.05","-0.30","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","16","78.17","77.72","0.24","-0.51","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","17","82.70","82.69","0.23","-0.93","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","18","83.10","82.81","0.22","-0.65","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","19","84.00","83.81","0.21","-0.73","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","20","91.50","91.13","0.16","-0.51","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","21","93.15","92.76","0.19","-0.52","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","22","94.66","94.07","0.21","-0.34","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","23","94.36","94.10","0.21","-0.67","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","24","91.68","91.62","0.17","-0.83","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","25","88.54","88.56","0.10","-0.84","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","26","90.35","90.25","0.12","-0.74","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","27","91.30","91.21","0.14","-0.77","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","28","92.14","91.93","0.17","-0.68","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","29","92.00","91.83","0.20","-0.75","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","30","91.89","91.83","0.17","-0.83","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","31","91.74","91.93","0.15","-1.06","0.00","0.19","0.3016","0.0032","0.2230"
"WEP","02 Jan 2019","32","92.60","92.43","0.16","-0.71","0.00","0.19","0.3016","0.0032","0.2230"
