DATE,PERIOD,WEP ($/MWh),USEP ($/MWh),DEMAND (MW)
01 Jan 2019,1,83.33,82.7,5201.89
01 Jan 2019,2,83.83,82.71,5150.460999999998
01 Jan 2019,3,83.19,82.7,5106.794
01 Jan 2019,4,83.13,82.69,5075.8409999999985
01 Jan 2019,5,83.2,82.67,5044.147
01 Jan 2019,6,78.81,77.66,4970.502
01 Jan 2019,7,78.3,77.16,4892.945
01 Jan 2019,8,73.55,72.58,4834.399
01 Jan 2019,9,73.65,72.57,4812.729
01 Jan 2019,10,73.41,72.57,4815.383
01 Jan 2019,11,73.46,72.57,4837.485
01 Jan 2019,12,73.65,72.57,4872.742
01 Jan 2019,13,73.38,72.5,4887.279
01 Jan 2019,14,73.29,72.5,4917.074000000001
01 Jan 2019,15,73.49,72.51,4967.982
01 Jan 2019,16,73.57,72.53,5039.699000000001
01 Jan 2019,17,73.49,72.53,5130.263
01 Jan 2019,18,73.55,72.91,5232.322
01 Jan 2019,19,78.7,77.69,5335.176
01 Jan 2019,20,78.49,77.69,5425.1280000000015
01 Jan 2019,21,78.69,77.69,5499.305
01 Jan 2019,22,75.28,74.37,5539.4180000000015
01 Jan 2019,23,75.2,74.38,5551.629
01 Jan 2019,24,75.5,74.88,5547.42
01 Jan 2019,25,75.25,74.58,5539.209
01 Jan 2019,26,75.56,74.93,5536.366
01 Jan 2019,27,74.79,74.26,5535.308000000001
01 Jan 2019,28,75.51,74.94,5538.976
01 Jan 2019,29,75.14,74.75,5567.956
01 Jan 2019,30,76.36,75.75,5586.35
01 Jan 2019,31,78.29,77.69,5605.255
01 Jan 2019,32,74.97,74.51,5558.677
01 Jan 2019,33,75.28,74.83,5576.509
01 Jan 2019,34,78.26,77.69,5619.803000000001
01 Jan 2019,35,78.16,77.71,5668.429
01 Jan 2019,36,78.07,77.71,5672.161999999998
01 Jan 2019,37,78.25,77.71,5676.799
01 Jan 2019,38,78.27,77.72,5737.4969999999985
01 Jan 2019,39,83.4,82.81,5813.608
01 Jan 2019,40,83.33,82.82,5840.257
01 Jan 2019,41,83.36,82.82,5816.406
01 Jan 2019,42,83.5,82.82,5820.009
01 Jan 2019,43,89.18,88.53,5826.798000000002
01 Jan 2019,44,83.32,82.82,5771.571999999999
01 Jan 2019,45,83.41,82.79,5656.824000000001
01 Jan 2019,46,83.47,82.77,5574.188
01 Jan 2019,47,83.35,82.77,5477.422
