DATE,PERIOD,GROSS INJECTION (MWh),NET INJECTION (MWh)
01 Jan 19,1,2555.100000000001,2362.2960000000007
01 Jan 19,2,2549.4099999999994,2357.615
01 Jan 19,3,2519.0129999999995,2327.042
01 Jan 19,4,2492.4729999999995,2300.4570000000003
01 Jan 19,5,2453.576,2261.5109999999995
01 Jan 19,6,2428.736,2236.684
01 Jan 19,7,2388.1710000000003,2195.8749999999995
01 Jan 19,8,2357.0889999999995,2164.78
01 Jan 19,9,2345.495000000001,2153.108
01 Jan 19,10,2330.105,2137.502
01 Jan 19,11,2334.63,2141.741
01 Jan 19,12,2356.871,2163.887
01 Jan 19,13,2381.39,2188.157
01 Jan 19,14,2402.2149999999992,2209.1289999999995
01 Jan 19,15,2415.075,2222.2300000000005
01 Jan 19,16,2433.258,2240.875
01 Jan 19,17,2490.4410000000003,2296.8099999999995
01 Jan 19,18,2529.485,2334.619
01 Jan 19,19,2590.661,2395.361
01 Jan 19,20,2635.303000000001,2439.673
01 Jan 19,21,2688.5290000000005,2493.014
01 Jan 19,22,2717.8809999999994,2522.0820000000003
01 Jan 19,23,2731.7870000000003,2536.097
01 Jan 19,24,2724.637,2529.03
01 Jan 19,25,2720.562000000001,2525.264
01 Jan 19,26,2721.438,2526.704
01 Jan 19,27,2730.9169999999995,2536.446
01 Jan 19,28,2729.8949999999995,2536.4569999999994
01 Jan 19,29,2737.48,2544.571
01 Jan 19,30,2741.4829999999997,2548.206
01 Jan 19,31,2742.949,2550.099
01 Jan 19,32,2743.416,2551.0
01 Jan 19,33,2750.5160000000005,2558.1800000000007
01 Jan 19,34,2766.046,2574.112
01 Jan 19,35,2774.6630000000005,2584.033000000001
01 Jan 19,36,2778.0679999999993,2587.982
01 Jan 19,37,2782.265,2592.4459999999995
01 Jan 19,38,2801.637,2610.735
01 Jan 19,39,2836.44,2646.547
01 Jan 19,40,2853.705,2665.48
01 Jan 19,41,2868.5839999999994,2680.1940000000004
01 Jan 19,42,2880.452,2692.265
01 Jan 19,43,2884.763,2696.578
01 Jan 19,44,2862.176,2674.045
01 Jan 19,45,2806.39,2617.991
01 Jan 19,46,2753.527,2565.025
01 Jan 19,47,2691.153,2502.722
01 Jan 19,48,2626.7719999999995,2437.915
02 Jan 19,1,2577.39,2388.7470000000003
02 Jan 19,2,2526.2729999999997,2337.902
02 Jan 19,3,2475.059,2286.5860000000002
02 Jan 19,4,2447.9549999999995,2259.702
02 Jan 19,5,2416.634,2228.21
02 Jan 19,6,2387.6109999999994,2199.03
02 Jan 19,7,2366.149,2177.628
02 Jan 19,8,2343.6259999999993,2154.8989999999994
02 Jan 19,9,2345.016,2156.485
02 Jan 19,10,2355.318,2166.8289999999997
02 Jan 19,11,2389.68,2201.524
02 Jan 19,12,2439.8360000000002,2251.306
02 Jan 19,13,2533.835,2344.325
02 Jan 19,14,2620.3429999999994,2431.659
02 Jan 19,15,2705.4700000000007,2515.005
02 Jan 19,16,2814.36,2624.4120000000003
02 Jan 19,17,2961.0019999999995,2770.615
02 Jan 19,18,3088.5640000000003,2897.085
02 Jan 19,19,3151.951,2959.093
02 Jan 19,20,3195.769,3002.697
02 Jan 19,21,3237.9189999999994,3045.005
02 Jan 19,22,3270.2259999999997,3076.7500000000005
02 Jan 19,23,3276.223,3081.8190000000004
02 Jan 19,24,3262.3459999999995,3065.8299999999995
02 Jan 19,25,3236.353,3039.239
02 Jan 19,26,3236.5799999999995,3040.3769999999995
02 Jan 19,27,3258.732,3062.542
02 Jan 19,28,3283.8100000000004,3087.925
02 Jan 19,29,3306.75,3110.621
02 Jan 19,30,3310.327,3114.965
02 Jan 19,31,3307.342,3113.242
02 Jan 19,32,3319.242,3124.151
02 Jan 19,33,3321.827,3127.3790000000004
02 Jan 19,34,3307.275,3113.434
02 Jan 19,35,3280.44,3086.6820000000002
02 Jan 19,36,3242.8869999999993,3050.4320000000002
02 Jan 19,37,3176.413,2984.762000000001
02 Jan 19,38,3160.19,2969.6659999999997
02 Jan 19,39,3176.739,2986.936000000001
02 Jan 19,40,3168.417,2978.6079999999993
02 Jan 19,41,3158.7270000000003,2968.498
02 Jan 19,42,3123.552,2933.1490000000003
02 Jan 19,43,3119.95,2929.69
02 Jan 19,44,3073.6199999999994,2883.4709999999995
02 Jan 19,45,2997.047,2806.972
02 Jan 19,46,2926.574,2736.152
