,WEP,PERIOD,day_of_week
0,83.33,1,1
1,83.83,2,1
2,83.19,3,1
3,83.13,4,1
4,83.2,5,1
5,78.81,6,1
6,78.3,7,1
7,73.55,8,1
8,73.65,9,1
9,73.41,10,1
10,73.46,11,1
11,73.65,12,1
12,73.38,13,1
13,73.29,14,1
14,73.49,15,1
15,73.57,16,1
16,73.49,17,1
17,73.55,18,1
18,78.7,19,1
19,78.49,20,1
20,78.69,21,1
21,75.28,22,1
22,75.2,23,1
23,75.5,24,1
24,75.25,25,1
25,75.56,26,1
26,74.79,27,1
27,75.51,28,1
28,75.14,29,1
29,76.36,30,1
30,78.29,31,1
31,74.97,32,1
32,75.28,33,1
33,78.26,34,1
34,78.16,35,1
35,78.07,36,1
36,78.25,37,1
37,78.27,38,1
38,83.4,39,1
39,83.33,40,1
40,83.36,41,1
41,83.5,42,1
42,89.18,43,1
43,83.32,44,1
44,83.41,45,1
45,83.47,46,1
46,83.35,47,1
47,83.06,48,1
48,75.85,1,2
49,73.74,2,2
50,73.12,3,2
51,73.36,4,2
52,72.59,5,2
53,71.87,6,2
54,71.8,7,2
55,71.2,8,2
56,71.54,9,2
57,71.9,10,2
58,72.42,11,2
59,73.17,12,2
60,73.22,13,2
61,75.51,14,2
62,75.14,15,2
63,78.17,16,2
64,82.7,17,2
65,83.1,18,2
66,84.0,19,2
67,91.5,20,2
68,93.15,21,2
69,94.66,22,2
70,94.36,23,2
71,91.68,24,2
72,88.54,25,2
73,90.35,26,2
74,91.3,27,2
75,92.14,28,2
76,92.0,29,2
77,91.89,30,2
78,91.74,31,2
79,92.6,32,2
80,93.42,33,2
81,91.72,34,2
82,92.61,35,2
83,88.44,36,2
84,87.56,37,2
85,88.24,38,2
86,88.7,39,2
87,88.53,40,2
88,90.9,41,2
89,96.31,42,2
90,95.05,43,2
91,93.4,44,2
92,99.01,45,2
93,93.29,46,2
94,91.89,47,2
95,80.27,48,2
96,92.67,1,3
97,92.76,2,3
98,92.76,3,3
99,88.68,4,3
100,87.59,5,3
101,82.69,6,3
102,81.75,7,3
103,81.42,8,3
104,81.74,9,3
105,83.04,10,3
106,89.8,11,3
107,93.12,12,3
108,95.16,13,3
109,99.03,14,3
110,94.94,15,3
111,99.12,16,3
112,107.59,17,3
113,104.15,18,3
114,97.97,19,3
115,98.38,20,3
116,99.0,21,3
117,98.89,22,3
118,97.45,23,3
119,94.69,24,3
120,93.2,25,3
121,93.65,26,3
122,96.43,27,3
123,98.5,28,3
124,98.89,29,3
125,97.54,30,3
126,98.85,31,3
127,97.43,32,3
128,97.35,33,3
129,95.94,34,3
130,92.84,35,3
131,99.14,36,3
132,103.62,37,3
133,105.62,38,3
134,98.47,39,3
135,105.03,40,3
136,103.87,41,3
137,191.76,42,3
138,171.6,43,3
139,112.16,44,3
140,112.98,45,3
141,103.02,46,3
142,96.82,47,3
143,91.19,48,3
144,92.85,1,4
145,92.81,2,4
146,90.13,3,4
147,90.37,4,4
148,89.53,5,4
149,89.33,6,4
150,88.16,7,4
151,87.9,8,4
152,87.65,9,4
153,88.32,10,4
154,89.61,11,4
155,91.46,12,4
156,93.17,13,4
157,94.24,14,4
158,92.57,15,4
159,96.05,16,4
160,101.07,17,4
161,104.36,18,4
162,106.89,19,4
163,106.76,20,4
164,106.42,21,4
165,110.24,22,4
166,115.47,23,4
167,109.59,24,4
168,105.76,25,4
169,106.44,26,4
170,108.52,27,4
171,110.47,28,4
172,108.11,29,4
173,108.27,30,4
174,111.82,31,4
175,110.36,32,4
176,108.04,33,4
177,105.83,34,4
178,102.19,35,4
179,96.86,36,4
180,94.1,37,4
181,94.16,38,4
182,94.89,39,4
183,93.7,40,4
184,93.78,41,4
185,106.81,42,4
186,104.26,43,4
187,95.84,44,4
188,91.31,45,4
189,89.93,46,4
190,85.26,47,4
191,83.83,48,4
192,91.24,1,5
193,90.9,2,5
194,93.95,3,5
195,91.17,4,5
196,90.57,5,5
197,89.84,6,5
198,88.39,7,5
199,87.85,8,5
200,87.54,9,5
201,87.26,10,5
202,88.21,11,5
203,88.56,12,5
204,87.96,13,5
205,89.98,14,5
206,90.68,15,5
207,94.28,16,5
208,105.39,17,5
209,116.19,18,5
210,151.69,19,5
211,256.2657155177831,20,5
212,256.2657155177831,21,5
213,256.2657155177831,22,5
214,256.2657155177831,23,5
215,256.2657155177831,24,5
