"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUC ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Jan 2015","1","92.55","90.46","2.08","-0.83","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","2","91.56","89.45","1.98","-0.71","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","3","89.82","89.24","0.98","-1.24","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","4","91.50","88.88","2.89","-1.11","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","5","86.12","84.84","1.42","-0.98","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","6","79.19","79.12","0.02","-0.79","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","7","77.16","76.99","0.00","-0.67","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","8","76.09","76.06","0.00","-0.81","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","9","75.97","75.63","0.00","-0.50","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","10","75.76","75.54","0.00","-0.62","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","11","75.71","75.54","0.01","-0.68","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","12","74.94","75.57","0.03","-1.51","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","13","76.37","76.07","0.42","-0.96","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","14","77.00","77.00","0.22","-1.06","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","15","76.53","77.01","0.42","-1.74","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","16","78.49","79.32","0.22","-1.89","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","17","89.72","89.24","0.41","-0.77","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","18","97.76","96.21","1.37","-0.66","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","19","122.26","120.68","1.73","-0.99","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","20","134.26","133.05","1.77","-1.40","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","21","81.36","80.94","1.02","-1.45","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","22","89.92","89.10","1.00","-1.02","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","23","89.59","89.36","0.24","-0.85","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","24","85.22","85.03","0.14","-0.79","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","25","86.02","85.54","0.32","-0.68","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","26","86.00","85.54","0.15","-0.53","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","27","86.28","85.52","0.23","-0.31","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","28","89.65","89.09","0.23","-0.51","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","29","90.10","89.36","0.24","-0.34","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","30","89.78","89.09","0.31","-0.46","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","31","94.72","93.82","0.43","-0.37","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","32","95.37","93.82","1.03","-0.32","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","33","91.09","90.28","0.44","-0.47","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","34","90.25","89.58","0.44","-0.61","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","35","90.71","90.37","0.18","-0.68","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","36","200.25","201.04","0.30","-1.93","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","37","211.59","211.98","0.81","-2.04","0.32","0.2700","-0.0001","0.2514"
"WEP","01 Jan 2015","38","142.45","142.35","0.40","-1.14","0.32","0.2700","-0.0001","0.2514"
