DATE,PERIOD,WEP ($/MWh),USEP ($/MWh),DEMAND (MW),GROSS INJECTION (MWh),NET INJECTION (MWh)
2019-01-01 00:00:00,1,83.33,82.7,5201.89,2555.100000000001,2362.2960000000007
2019-01-01 00:30:00,2,83.83,82.71,5150.460999999998,2549.4099999999994,2357.615
2019-01-01 01:00:00,3,83.19,82.7,5106.794,2519.0129999999995,2327.042
2019-01-01 01:30:00,4,83.13,82.69,5075.8409999999985,2492.4729999999995,2300.457000000001
2019-01-01 02:00:00,5,83.2,82.67,5044.147,2453.576,2261.5109999999995
2019-01-01 02:30:00,6,78.81,77.66,4970.502,2428.736,2236.6839999999997
2019-01-01 03:00:00,7,78.3,77.16,4892.945,2388.1710000000007,2195.8749999999995
2019-01-01 03:30:00,8,73.55,72.58,4834.399,2357.0889999999995,2164.78
2019-01-01 04:00:00,9,73.65,72.57,4812.729,2345.495000000001,2153.1079999999997
2019-01-01 04:30:00,10,73.41,72.57,4815.383,2330.105,2137.502
2019-01-01 05:00:00,11,73.46,72.57,4837.485,2334.63,2141.741
2019-01-01 05:30:00,12,73.65,72.57,4872.742,2356.871,2163.887
2019-01-01 06:00:00,13,73.38,72.5,4887.279,2381.39,2188.157
2019-01-01 06:30:00,14,73.29,72.5,4917.074000000001,2402.2149999999992,2209.1289999999995
2019-01-01 07:00:00,15,73.49,72.51,4967.982,2415.075,2222.2300000000005
2019-01-01 07:30:00,16,73.57,72.53,5039.699000000001,2433.258,2240.875
2019-01-01 08:00:00,17,73.49,72.53,5130.263,2490.4410000000007,2296.8099999999995
2019-01-01 08:30:00,18,73.55,72.91,5232.322,2529.485,2334.619
2019-01-01 09:00:00,19,78.7,77.69,5335.176,2590.661,2395.361
2019-01-01 09:30:00,20,78.49,77.69,5425.1280000000015,2635.303000000001,2439.673
2019-01-01 10:00:00,21,78.69,77.69,5499.305,2688.5290000000005,2493.014
2019-01-01 10:30:00,22,75.28,74.37,5539.418000000002,2717.8809999999994,2522.082000000001
2019-01-01 11:00:00,23,75.2,74.38,5551.629,2731.7870000000007,2536.097
2019-01-01 11:30:00,24,75.5,74.88,5547.42,2724.637,2529.03
2019-01-01 12:00:00,25,75.25,74.58,5539.209,2720.562000000001,2525.264
2019-01-01 12:30:00,26,75.56,74.93,5536.366,2721.438,2526.7039999999997
2019-01-01 13:00:00,27,74.79,74.26,5535.308000000001,2730.9169999999995,2536.446
2019-01-01 13:30:00,28,75.51,74.94,5538.976,2729.8949999999995,2536.4569999999994
